Date,open,high,low,close,volume
2000-01-03,34.9375,35.3125,34.75,34.75,1262800
2000-01-04,33.59375,33.59375,32.21875,32.21875,884400
2000-01-05,29.125,29.9375,28.5,29.8125,1500800
2000-01-06,27.375,27.9375,27.28125,27.40625,1375200
2000-01-07,27.75,28.859375,27.75,28.859375,1224000
2000-01-10,30.75,30.90625,30.15625,30.71875,835600
2000-01-11,31.0,31.0,29.46875,29.5625,720800
2000-01-12,30.375,30.4375,30.0,30.0,401600
2000-01-13,30.0,30.0,29.0625,29.5,394000
2000-01-14,28.5,28.90625,28.375,28.390625,599200
2000-01-18,30.625,30.625,29.890625,30.171875,761600
2000-01-19,29.0,30.0,29.0,29.328125,558800
2000-01-20,28.75,29.0,28.0625,28.3125,565600
2000-01-21,28.875,29.0,28.703125,28.703125,443200
2000-01-24,28.125,28.34375,28.0,28.015625,1023600
2000-01-25,28.75,29.34375,28.6875,29.34375,613200
2000-01-26,29.828125,30.71875,29.765625,30.359375,569200
2000-01-27,33.0625,33.0625,32.625,32.8125,629600
2000-01-28,33.59375,33.75,32.1875,32.234375,662800
2000-01-31,31.0,31.34375,30.515625,31.34375,721600
2000-02-01,31.625,31.875,31.3125,31.796875,604000
2000-02-02,32.15625,33.125,32.015625,32.9375,648400
2000-02-03,34.046875,34.875,33.875,34.875,679200
2000-02-04,34.75,37.90625,34.375,37.625,1019200
2000-02-07,37.625,37.75,36.3125,36.5,1591200
2000-02-08,39.625,42.875,39.5,42.0,1842400
2000-02-09,43.875,43.875,41.0,41.46875,1402400
2000-02-10,41.46875,44.375,41.125,43.890625,1726400
2000-02-11,44.75,44.75,41.625,42.34375,1065600
2000-02-14,42.375,43.375,42.25,42.5,562400
2000-02-15,40.625,41.46875,39.0,41.46875,936400
2000-02-16,40.0,40.359375,39.5,39.875,742800
2000-02-17,40.46875,40.5,39.0,39.15625,405600
2000-02-18,38.1875,38.75,37.375,37.5625,1200000
2000-02-22,38.4375,38.8125,38.25,38.65625,974000
2000-02-23,39.140625,41.375,39.0625,40.765625,1003200
2000-02-24,43.75,44.5,43.625,44.5,1506000
2000-02-25,46.5,50.25,46.5,50.203125,2702400
2000-02-28,45.75,48.125,45.0,46.390625,2511600
2000-02-29,46.75,46.875,46.15625,46.46875,777600
2000-03-01,46.53125,49.125,45.75,47.75,1898000
2000-03-02,47.75,47.75,46.75,46.890625,616000
2000-03-03,50.25,51.21875,49.78125,50.734375,784400
2000-03-06,50.734375,51.734375,49.375,50.171875,979600
2000-03-07,51.0,51.125,48.625,48.8125,1124800
2000-03-08,49.296875,49.765625,48.25,49.6875,935600
2000-03-09,47.515625,48.96875,47.21875,48.765625,581200
2000-03-10,48.765625,48.765625,48.03125,48.296875,784400
2000-03-13,43.015625,45.125,42.75,44.46875,2262800
2000-03-14,44.25,44.75,42.25,42.34375,1150800
2000-03-15,42.71875,42.71875,42.0625,42.46875,982800
2000-03-16,41.46875,41.5,39.625,41.421875,1013600
2000-03-17,41.65625,44.375,41.65625,44.1875,1215600
2000-03-20,46.8125,46.9375,45.6875,45.875,1172800
2000-03-21,46.109375,48.5,46.0,48.484375,1246800
2000-03-22,47.25,49.65625,47.25,49.25,1081600
2000-03-23,48.546875,48.6875,47.65625,48.03125,596400
2000-03-24,47.125,47.140625,46.0,46.375,966400
2000-03-27,48.75,49.21875,48.5,48.609375,554400
2000-03-28,49.125,49.25,48.46875,48.71875,551600
2000-03-29,48.734375,48.734375,46.90625,47.25,582000
2000-03-30,43.53125,44.609375,41.53125,42.15625,1194400
2000-03-31,44.375,44.609375,43.65625,44.3125,1080400
2000-04-03,43.15625,43.15625,41.25,41.75,590000
2000-04-04,42.625,42.75,37.6875,38.828125,1770400
2000-04-05,38.0625,40.078125,37.625,39.5,1229600
2000-04-06,41.34375,41.9375,40.5,40.6875,1230000
2000-04-07,44.8125,45.4375,44.25,45.125,828400
2000-04-10,43.015625,43.609375,41.875,42.015625,658800
2000-04-11,41.15625,41.15625,39.890625,39.96875,918000
2000-04-12,40.453125,40.8125,38.890625,38.96875,1134400
2000-04-13,40.9375,41.125,40.0,40.25,1032400
2000-04-14,37.90625,37.90625,34.15625,35.0,2008400
2000-04-17,33.4375,36.140625,33.25,36.140625,1524000
2000-04-18,36.078125,38.359375,35.75,38.359375,1451600
2000-04-19,37.375,37.5,36.0,36.796875,1229200
2000-04-20,37.375,38.4375,36.90625,37.9375,905600
2000-04-24,37.125,37.125,35.765625,36.25,631200
2000-04-25,36.625,37.703125,36.53125,37.375,784000
2000-04-26,35.625,35.625,34.625,34.6875,632400
2000-04-27,33.28125,34.96875,33.078125,34.71875,882400
2000-04-28,36.5625,36.6875,35.6875,36.671875,1186800
2000-05-01,36.734375,37.4375,36.734375,37.25,474800
2000-05-02,39.015625,39.59375,38.9375,38.9375,738400
2000-05-03,38.6875,38.71875,36.6875,37.09375,606000
2000-05-04,37.484375,38.484375,37.28125,38.40625,718000
2000-05-05,37.375,38.75,37.375,38.625,479600
2000-05-08,36.46875,36.65625,36.0,36.0,709600
2000-05-09,36.25,36.375,34.96875,35.328125,385600
2000-05-10,34.71875,34.71875,32.75,33.109375,604400
2000-05-11,33.6875,34.109375,33.109375,34.0625,610000
2000-05-12,36.9375,37.59375,36.75,37.203125,934400
2000-05-15,35.875,36.5,35.8125,36.390625,1264400
2000-05-16,37.15625,37.625,36.875,37.609375,730000
2000-05-17,34.53125,34.875,34.4375,34.671875,1196400
2000-05-18,32.84375,33.234375,32.328125,32.4375,1171200
2000-05-19,32.5,32.65625,31.625,31.65625,492800
2000-05-22,31.375,31.390625,29.375,30.796875,987600
2000-05-23,32.0625,32.5,31.65625,31.8125,734400
2000-05-24,31.03125,32.1875,30.65625,32.03125,1450800
2000-05-25,32.09375,32.21875,30.8125,30.90625,775200
2000-05-26,31.25,31.5,30.90625,31.40625,857200
2000-05-30,33.75,36.21875,33.5,36.21875,960000
2000-05-31,37.0,37.4375,36.640625,36.75,742000
2000-06-01,37.59375,38.96875,37.59375,38.96875,622800
2000-06-02,40.46875,41.28125,40.3125,41.25,827600
2000-06-05,41.46875,42.375,41.0625,41.125,1232000
2000-06-06,41.1875,41.90625,41.0625,41.375,540800
2000-06-07,41.28125,41.28125,40.5625,41.125,533600
2000-06-08,41.25,41.375,40.9375,41.25,525200
2000-06-09,41.96875,42.984375,41.96875,42.796875,515200
2000-06-12,41.234375,41.71875,41.0625,41.28125,396800
2000-06-13,40.5625,40.71875,40.09375,40.71875,638000
2000-06-14,39.9375,40.21875,39.03125,39.03125,545600
2000-06-15,40.75,40.75,40.140625,40.546875,560400
2000-06-16,41.75,41.875,41.140625,41.234375,795200
2000-06-19,41.5,42.40625,41.4375,42.390625,748800
2000-06-20,41.1875,41.46875,40.75,40.96875,535600
2000-06-21,42.25,42.71875,42.0,42.59375,988000
2000-06-22,41.4375,41.5625,41.125,41.234375,572400
2000-06-23,41.234375,41.234375,40.78125,40.859375,676000
2000-06-26,42.1875,44.734375,42.1875,44.53125,1261600
2000-06-27,44.21875,45.859375,44.21875,45.03125,1710400
2000-06-28,46.40625,47.296875,46.25,46.90625,1011600
2000-06-29,44.9375,45.75,44.890625,44.890625,845200
2000-06-30,44.21875,45.25,44.0625,44.453125,559200
2000-07-03,44.0,44.484375,43.75,44.484375,262800
2000-07-05,44.6875,44.75,43.375,43.375,294800
2000-07-06,44.5,45.8125,44.375,45.8125,484000
2000-07-07,46.25,46.6875,46.25,46.4375,291200
2000-07-10,47.25,47.5,47.0,47.1875,293000
2000-07-11,47.25,48.0,46.75,46.9375,263500
2000-07-12,47.0,47.375,46.625,47.1875,277400
2000-07-13,47.0,47.25,46.5,46.9375,368500
2000-07-14,47.1875,48.75,46.875,48.625,435600
2000-07-17,48.5625,49.25,48.375,48.9375,308800
2000-07-18,47.0625,47.25,46.5625,46.8125,374600
2000-07-19,46.6875,47.5,46.6875,46.8125,247600
2000-07-20,46.5625,47.1875,46.5,47.1875,400400
2000-07-21,46.25,46.25,45.75,45.75,495700
2000-07-24,44.25,44.25,42.5625,42.9375,471000
2000-07-25,42.8125,43.4375,42.375,43.25,389200
2000-07-26,43.125,43.1875,42.375,42.5625,288100
2000-07-27,42.25,42.25,40.625,41.0,343400
2000-07-28,41.25,41.4375,40.3125,40.375,489800
2000-07-31,40.4375,41.6875,40.0625,41.6875,529100
2000-08-01,41.25,41.25,40.75,41.1875,513600
2000-08-02,42.0,42.625,41.875,42.1875,389800
2000-08-03,41.9375,42.0625,41.25,41.6875,793400
2000-08-04,42.375,43.5,42.25,42.875,332300
2000-08-07,42.875,43.5,42.625,43.3125,153400
2000-08-08,41.0,41.25,39.9375,40.0,672800
2000-08-09,40.5,40.6875,39.625,39.6875,339200
2000-08-10,40.75,40.75,40.0625,40.0625,292700
2000-08-11,39.375,40.375,39.3125,40.375,323500
2000-08-14,38.4375,38.625,38.125,38.5625,1070300
2000-08-15,40.0625,40.5625,39.75,40.125,843700
2000-08-16,41.6875,41.6875,41.1875,41.375,269000
2000-08-17,41.125,42.0,41.125,41.9375,196900
2000-08-18,41.125,41.125,40.25,40.4375,175000
2000-08-21,40.5,40.5,39.5,39.6875,572600
2000-08-22,40.0,40.125,39.75,39.8125,253700
2000-08-23,39.0,39.0,38.25,38.625,245400
2000-08-24,39.0,39.125,38.0,38.25,431100
2000-08-25,38.5,38.5,37.75,37.75,255800
2000-08-28,38.375,39.0,38.25,38.6875,623800
2000-08-29,39.1875,39.25,38.875,38.9375,409900
2000-08-30,38.4375,38.4375,37.25,37.5,711600
2000-08-31,38.1875,38.75,38.0625,38.5625,750300
2000-09-01,38.5625,38.5625,38.125,38.375,191200
2000-09-05,39.75,39.8125,39.0625,39.0625,515900
2000-09-06,39.875,40.125,39.75,39.8125,580000
2000-09-07,39.625,39.9375,39.625,39.8125,145200
2000-09-08,39.5,39.5,38.75,38.75,207600
2000-09-11,38.125,38.125,37.75,37.875,298600
2000-09-12,37.5,37.8125,37.0625,37.0625,196000
2000-09-13,37.0,37.0,35.8125,36.125,836600
2000-09-14,36.6875,37.0,35.75,36.1875,1748000
2000-09-15,35.6875,35.6875,34.75,35.0,868800
2000-09-18,34.3125,34.4375,32.25,32.9375,1337300
2000-09-19,34.25,35.1875,34.1875,34.8125,1040100
2000-09-20,34.3125,34.375,32.875,33.25,753400
2000-09-21,32.25,32.5,31.5625,31.625,909500
2000-09-22,29.5,31.75,29.375,31.75,1289000
2000-09-25,32.8125,33.25,32.25,32.5,860800
2000-09-26,32.4375,33.1875,32.25,32.25,750900
2000-09-27,33.125,33.125,32.4375,32.4375,243700
2000-09-28,32.3125,33.8125,32.0,33.5,361000
2000-09-29,33.0,33.0,32.3125,32.4375,380000
2000-10-02,32.5625,32.625,31.8125,31.875,282300
2000-10-03,32.4375,32.6875,31.875,32.0,1032800
2000-10-04,35.25,37.125,34.875,37.0625,2101600
2000-10-05,37.5625,38.0625,37.375,37.375,465400
2000-10-06,37.25,37.3125,37.0,37.0,248900
2000-10-09,36.0,36.0625,34.5,35.625,369400
2000-10-10,35.375,35.75,35.0,35.0,251000
2000-10-11,33.8125,34.125,33.25,33.75,864800
2000-10-12,33.6875,33.875,31.8125,32.3125,1249400
2000-10-13,32.0,34.5,31.875,34.0625,754500
2000-10-16,33.1875,33.1875,32.4375,32.6875,229500
2000-10-17,32.6875,32.6875,31.375,31.375,229800
2000-10-18,30.75,31.1875,30.25,30.75,1582000
2000-10-19,32.0,33.9375,32.0,33.875,753100
2000-10-20,34.25,35.0,34.0,34.75,416800
2000-10-23,33.375,33.9375,33.375,33.4375,618800
2000-10-24,33.0,33.5,32.75,32.875,511200
2000-10-25,32.9375,33.375,32.1875,32.375,637600
2000-10-26,33.1875,33.75,33.0,33.5,782900
2000-10-27,34.0,34.1875,33.75,34.1875,919200
2000-10-30,32.75,33.0,32.0625,32.125,1142900
2000-10-31,30.0625,30.75,30.0,30.625,18304900
2000-11-01,31.125,31.1875,30.625,31.0625,5857500
2000-11-02,32.0,32.6875,31.8125,32.5625,4274700
2000-11-03,32.875,32.875,32.1875,32.4375,2033600
2000-11-06,33.75,33.9375,33.5625,33.875,2436300
2000-11-07,34.0625,34.5,33.75,34.0625,1901800
2000-11-08,33.4375,33.5,32.3125,32.625,1407100
2000-11-09,32.1875,32.5,31.8125,32.3125,868400
2000-11-10,32.0,32.25,31.6875,32.1875,958300
2000-11-13,30.75,31.4375,30.25,31.125,1119100
2000-11-14,32.1875,33.375,32.125,33.3125,1524600
2000-11-15,32.0625,32.75,32.0,32.5,1153600
2000-11-16,32.375,32.875,32.25,32.3125,1320300
2000-11-17,32.25,32.5,31.75,32.25,819400
2000-11-20,32.25,32.25,31.875,31.9375,443400
2000-11-21,31.875,32.0,31.625,31.8125,838800
2000-11-22,29.9375,29.9375,27.6875,27.75,3860700
2000-11-24,27.125,27.6875,27.125,27.625,2354400
2000-11-27,27.9375,27.9375,26.25,26.5625,1561000
2000-11-28,26.3125,26.625,26.0625,26.5,1083500
2000-11-29,26.125,26.25,25.75,25.9375,723200
2000-11-30,26.625,27.0,26.3125,26.5,2209700
2000-12-01,29.875,30.1875,29.625,29.8125,1685000
2000-12-04,29.6875,30.125,29.5,30.0625,759200
2000-12-05,30.25,31.4375,29.625,31.25,1343300
2000-12-06,30.25,30.3125,29.0,29.4375,764900
2000-12-07,29.0,29.375,28.8125,29.125,632400
2000-12-08,30.125,31.0,30.0,30.6875,882900
2000-12-11,31.0,31.25,30.8125,31.125,806100
2000-12-12,30.25,30.375,29.6875,29.9375,521100
2000-12-13,30.5,30.875,30.1875,30.1875,425300
2000-12-14,30.125,30.125,29.8125,29.875,240000
