Date,open,high,low,close,volume
2000-01-03,112.4375,116.0,111.875,116.0,10347700
2000-01-04,114.0,114.5,110.875,112.0625,8227800
2000-01-05,112.9375,119.75,112.125,116.0,12733200
2000-01-06,118.0,118.9375,113.5,114.0,7971900
2000-01-07,117.25,117.9375,110.625,113.5,11856700
2000-01-10,117.25,119.375,115.375,118.0,8540500
2000-01-11,117.875,121.125,116.625,119.0,7873300
2000-01-12,119.625,122.0,118.25,119.5,6803800
2000-01-13,119.9375,121.0,115.75,118.25,8489700
2000-01-14,120.9375,123.3125,117.5,119.625,10956600
2000-01-18,119.6875,119.75,115.0,115.75,7643900
2000-01-19,115.5625,122.0,112.6875,119.5,8634500
2000-01-20,123.0,124.75,119.0,119.0,17783400
2000-01-21,121.875,123.0,119.9375,121.5,7868700
2000-01-24,121.875,122.875,116.5625,121.5,6499200
2000-01-25,116.75,119.5,116.0,119.125,6936900
2000-01-26,119.0625,119.9375,116.0,116.75,4895100
2000-01-27,118.0,118.4375,111.625,113.5,8324600
2000-01-28,112.75,114.1875,110.0625,111.5625,6669400
2000-01-31,111.375,112.8125,109.625,112.25,6202700
2000-02-01,112.375,113.4375,109.125,110.0,7304700
2000-02-02,112.0,115.8125,110.375,113.5,7707700
2000-02-03,115.0,117.5,114.0625,117.125,6213800
2000-02-04,118.1875,118.4375,114.8125,115.625,5405300
2000-02-07,116.0,116.875,113.125,114.125,5779500
2000-02-08,116.9375,119.0,116.1875,118.8125,5464300
2000-02-09,119.0,119.75,117.0,117.375,5374700
2000-02-10,117.6875,119.125,116.875,119.125,4446600
2000-02-11,119.0625,119.4375,114.5625,115.375,5749400
2000-02-14,116.0,116.375,114.5,116.0625,4544000
2000-02-15,115.875,117.4375,113.875,117.125,5177500
2000-02-16,116.5,117.3125,115.25,115.75,3966900
2000-02-17,116.5,118.875,115.75,116.75,5237500
2000-02-18,115.25,115.9375,111.5,112.5,7673400
2000-02-22,112.0,113.4375,108.75,111.0,7654800
2000-02-23,110.5,110.5,108.5,108.75,7435300
2000-02-24,108.8125,111.0,108.1875,110.5,9112000
2000-02-25,109.875,109.875,104.9375,108.0,10312200
2000-02-28,104.625,106.5,103.9375,104.5,8479900
2000-02-29,105.5625,105.5625,100.9375,102.75,10484900
2000-03-01,102.0,105.5,100.0625,100.25,10807800
2000-03-02,100.5,105.4375,99.5,103.125,11192900
2000-03-03,107.25,110.0,106.0625,108.0,10162800
2000-03-06,109.9375,111.0,101.0,103.0625,10747400
2000-03-07,106.0,107.0,101.6875,103.0,10035100
2000-03-08,103.0,106.875,102.75,106.25,8376400
2000-03-09,106.5,108.0,104.125,108.0,6334100
2000-03-10,107.625,109.0,105.0,105.25,7093200
2000-03-13,104.0,109.0,102.5,107.6875,7871000
2000-03-14,107.75,110.0,107.375,108.625,7973700
2000-03-15,107.5,108.25,106.125,107.0,5665900
2000-03-16,109.0,109.8125,107.875,109.0,6622500
2000-03-17,108.25,111.6875,107.6875,110.0,8857300
2000-03-20,110.0,113.375,109.9375,112.75,6563500
2000-03-21,112.8125,114.6875,111.9375,113.5,6771600
2000-03-22,114.5,115.375,113.875,114.25,6137800
2000-03-23,115.875,115.875,111.625,115.25,6492400
2000-03-24,115.375,122.25,115.0625,120.625,12125600
2000-03-27,125.0,128.25,124.625,126.875,11862900
2000-03-28,125.75,127.0,122.0625,122.5,8149600
2000-03-29,122.3125,122.4375,118.5,119.0,7312300
2000-03-30,118.875,123.0,118.6875,122.75,9158000
2000-03-31,122.625,123.75,117.0625,118.375,8015200
2000-04-03,120.0,122.375,119.4375,122.0,7715600
2000-04-04,121.5,126.9375,115.0625,121.1875,16667200
2000-04-05,120.5,125.75,119.75,125.0,8693500
2000-04-06,123.5,128.0,122.625,122.75,8887400
2000-04-07,123.5,125.6875,121.5,123.125,5380300
2000-04-10,124.75,125.375,121.5625,122.125,5507300
2000-04-11,121.625,121.625,117.8125,119.375,7738700
2000-04-12,119.625,119.625,111.6875,113.75,8885200
2000-04-13,112.5,114.3125,110.0,110.625,8236400
2000-04-14,109.8125,112.75,102.875,105.0,11782000
2000-04-17,103.875,112.25,103.3125,111.875,9969500
2000-04-18,112.25,115.125,110.0625,111.5,8205500
2000-04-19,109.75,109.75,102.8125,105.0,14674500
2000-04-20,105.0,105.25,102.0625,104.0,10633300
2000-04-24,102.0,107.1875,101.25,106.5,8523100
2000-04-25,106.5,113.0,106.4375,112.5,9576400
2000-04-26,112.5,113.9375,109.0,110.5,6182800
2000-04-27,109.5,113.125,108.6875,110.625,6317500
2000-04-28,112.0,112.6875,110.125,111.5,4888600
2000-05-01,112.5,113.1875,110.4375,112.0,4196100
2000-05-02,111.0,113.625,110.6875,111.375,4085000
2000-05-03,110.5,111.125,106.5625,108.125,5543800
2000-05-04,109.125,109.1875,107.1875,107.625,3631300
2000-05-05,106.625,109.625,106.5,107.875,4695100
2000-05-08,108.0625,110.375,107.625,109.75,4826900
2000-05-09,110.5,110.625,108.25,109.0,4864900
2000-05-10,105.5,105.6875,102.0625,103.0,10012700
2000-05-11,104.0,107.5,103.1875,104.4375,8106200
2000-05-12,103.75,105.75,103.25,104.4375,5599700
2000-05-15,104.0,104.875,102.0,104.1875,5907800
2000-05-16,105.125,109.25,105.0,109.0,7265800
2000-05-17,107.5,108.875,106.125,107.875,5524500
2000-05-18,106.125,107.3125,104.6875,106.0625,4577200
2000-05-19,106.0625,107.5,105.0,106.4375,6419200
2000-05-22,106.0,109.25,103.4375,109.25,6769400
2000-05-23,109.0,110.0,107.125,107.375,5978900
2000-05-24,106.5,110.0,104.1875,109.625,8184200
2000-05-25,110.5,112.25,106.375,106.5,5967600
2000-05-26,105.5,107.1875,104.5625,106.9375,4296900
2000-05-30,107.75,111.0,107.6875,110.9375,3617500
2000-05-31,110.5,110.75,107.1875,107.3125,3732500
2000-06-01,107.5625,108.9375,105.5,106.0,5712500
2000-06-02,109.0,109.75,107.625,108.8125,5473300
2000-06-05,108.4375,114.1875,108.4375,112.8125,7281400
2000-06-06,112.25,114.625,111.25,112.375,5369400
2000-06-07,112.5,121.75,111.5,121.0,11115500
2000-06-08,119.375,122.3125,117.5,119.75,9325600
2000-06-09,119.875,120.75,118.875,119.6875,4739100
2000-06-12,119.125,120.4375,118.84375,118.84375,3640300
2000-06-13,118.875,119.9375,116.75,119.3125,4008600
2000-06-14,118.875,120.0,115.5,116.0,5282600
2000-06-15,116.0,119.0,115.875,116.8125,5386300
2000-06-16,116.3125,117.6875,113.25,113.25,8046200
2000-06-19,113.5,120.375,113.25,120.375,6059200
2000-06-20,120.0,120.6875,115.375,116.375,7103800
2000-06-21,115.5625,115.9375,113.5,114.5,6487000
2000-06-22,114.125,114.3125,111.25,111.8125,4853100
