Date,open,high,low,close,volume
2000-01-03,147.0,147.125,140.125,141.0,629400
2000-01-04,138.0,139.75,132.75,133.75,392600
2000-01-05,132.0,132.875,127.75,129.625,289300
2000-01-06,129.75,136.75,129.25,133.75,324200
2000-01-07,133.375,134.125,131.0,133.75,206400
2000-01-10,143.0,143.0,138.25,140.0,431800
2000-01-11,138.25,139.0,135.0,135.25,355000
2000-01-12,135.5,135.625,131.0,131.375,286100
2000-01-13,133.375,137.875,132.625,137.25,333100
2000-01-14,139.5,142.0,138.0,139.625,463200
2000-01-18,139.25,139.625,135.75,137.125,301300
2000-01-19,137.125,138.875,137.125,137.625,221800
2000-01-20,138.75,139.375,134.0,136.75,270400
2000-01-21,138.5,142.125,136.25,140.375,264900
2000-01-24,142.0,149.875,142.0,143.25,536600
2000-01-25,143.25,143.75,138.875,140.5,173700
2000-01-26,141.5,142.125,136.25,140.875,226400
2000-01-27,148.0,154.125,145.75,147.5,549900
2000-01-28,145.5,146.25,137.5,138.625,257300
2000-01-31,136.375,138.375,131.875,138.375,382700
2000-02-01,133.5,137.5,132.625,137.0,279800
2000-02-02,137.5,140.875,137.0,140.125,124000
2000-02-03,140.875,146.875,140.375,141.875,290400
2000-02-04,142.75,148.625,141.5,147.125,307000
2000-02-07,147.75,149.625,146.625,147.0,194600
2000-02-08,146.5,149.25,146.5,149.125,250600
2000-02-09,150.25,152.5,145.75,146.75,250600
2000-02-10,146.75,147.75,142.75,144.125,157900
2000-02-11,144.625,144.75,140.25,140.875,135600
2000-02-14,140.875,144.5,140.875,142.5,194300
2000-02-15,143.0,146.875,141.875,146.75,191500
2000-02-16,147.0,147.375,141.0,142.5,288000
2000-02-17,144.0,147.0,142.5,143.875,215700
2000-02-18,143.375,143.5,140.5,141.125,189700
2000-02-22,140.375,144.0,136.125,142.75,386400
2000-02-23,142.75,147.0,141.0,146.0,458200
2000-02-24,150.0,154.0,149.25,153.0,462300
2000-02-25,153.0,164.0,152.75,157.25,677200
2000-02-28,157.75,159.75,155.0,156.125,312100
2000-02-29,156.75,158.875,156.25,157.5,349500
2000-03-01,158.5,170.0,158.5,170.0,642100
2000-03-02,170.0,171.75,166.875,170.5,391200
2000-03-03,170.25,180.0,170.25,180.0,379200
2000-03-06,178.25,181.0,176.25,177.125,389100
2000-03-07,177.5,177.5,169.625,169.75,199500
2000-03-08,170.75,170.75,162.875,169.25,429400
2000-03-09,169.75,172.25,165.375,172.25,193300
2000-03-10,176.75,180.75,174.5,175.375,233000
2000-03-13,166.0,173.0,164.625,170.375,290700
2000-03-14,169.875,169.875,160.125,161.5,252700
2000-03-15,160.5,160.75,155.25,155.875,404500
2000-03-16,157.75,162.25,150.0,162.0,760400
2000-03-17,161.5,167.5,161.125,165.875,333300
2000-03-20,165.375,166.0,160.625,160.625,173600
2000-03-21,160.125,162.5,155.5,162.5,255300
2000-03-22,166.0,171.0,165.25,169.625,252500
2000-03-23,173.375,178.25,172.5,177.875,262100
2000-03-24,179.875,187.75,178.5,182.375,454000
2000-03-27,181.25,181.25,172.125,173.875,297300
