Date,open,high,low,close,volume
2000-01-03,47.40625,49.0625,45.625,49.0625,2511300
2000-01-04,47.75,49.5625,46.9375,47.25,1999900
2000-01-05,47.25,48.5,46.5,47.375,3921900
2000-01-06,46.9375,50.0,46.875,48.6875,2539800
2000-01-07,48.40625,50.25,48.3125,49.8125,2396200
2000-01-10,50.0,51.6875,49.5,50.5,3016100
2000-01-11,50.0,51.3125,47.25,47.4375,2599400
2000-01-12,47.875,50.1875,47.25,49.0,3599000
2000-01-13,49.6875,50.625,47.6875,50.4375,2297800
2000-01-14,50.96875,52.5,50.4375,50.625,4129200
2000-01-18,50.0,50.9375,49.125,50.5625,2866000
2000-01-19,51.125,54.5,50.0,54.375,3268400
2000-01-20,53.75,54.75,52.1875,53.0625,3848300
2000-01-21,52.1875,53.375,48.0625,48.4375,5280600
2000-01-24,48.8125,51.625,48.625,49.625,3524400
2000-01-25,50.75,52.375,47.0,52.1875,2904100
2000-01-26,51.0625,51.75,48.875,50.0,5603300
2000-01-27,50.8125,52.625,50.1875,52.125,4530500
2000-01-28,50.4375,51.125,48.5,49.1875,3677800
2000-01-31,49.1875,51.9375,48.875,50.125,3359500
2000-02-01,50.125,51.75,49.0,51.6875,2204600
2000-02-02,51.5625,53.75,50.625,52.0625,1960200
2000-02-03,52.28125,53.75,50.9375,53.75,3162600
2000-02-04,54.0,55.5,53.5,55.0625,2907000
2000-02-07,55.375,57.625,54.5,57.5,2110400
2000-02-08,58.25,60.9375,58.0,60.875,3183300
2000-02-09,60.8125,60.8125,57.75,58.0,2172300
2000-02-10,58.5,60.125,57.5,60.0625,1605600
2000-02-11,59.625,60.0625,57.625,57.75,1767800
2000-02-14,58.125,59.125,56.75,58.6875,1603400
2000-02-15,57.9375,58.4375,56.25,58.1875,2270000
2000-02-16,58.125,58.25,53.4375,54.375,3583800
2000-02-17,55.28125,56.125,53.125,56.0,3645800
2000-02-18,55.125,57.25,54.875,55.5625,3655900
2000-02-22,55.125,56.25,53.5,54.9375,2573300
2000-02-23,54.25,58.625,54.25,57.875,3223700
2000-02-24,58.5625,62.75,57.6875,62.625,5297700
2000-02-25,62.375,65.5,62.1875,63.625,3828400
2000-02-28,62.0,65.625,59.0,64.0,2654800
2000-02-29,64.8125,67.0625,64.375,66.8125,3044300
2000-03-01,67.3125,68.375,63.5,63.6875,2580400
2000-03-02,63.4375,66.0,61.375,61.375,3013500
2000-03-03,62.625,65.125,61.8125,64.25,2712500
2000-03-06,63.9375,68.0,62.875,63.75,3121200
2000-03-07,65.5,68.375,64.0,64.375,2709800
2000-03-08,65.0,65.6875,60.25,65.5,2209900
2000-03-09,65.875,68.5625,64.8125,68.4375,2109700
2000-03-10,67.0625,70.25,66.9375,70.125,2943300
2000-03-13,68.375,68.75,63.5,63.5625,2313900
2000-03-14,64.875,67.0,59.0,59.9375,2444700
2000-03-15,60.5,61.3125,56.875,57.8125,2658000
2000-03-16,58.9375,71.1875,56.125,70.3125,4116100
2000-03-17,67.75,70.0,65.125,67.25,3636800
2000-03-20,65.5,69.125,64.25,64.4375,1920500
2000-03-21,64.609375,70.0,64.25,69.9375,2470500
2000-03-22,69.9375,74.5,68.5,73.6875,3115500
2000-03-23,72.8125,73.6875,69.25,71.625,2589400
2000-03-24,71.625,74.25,70.4375,72.0,2098500
2000-03-27,71.8125,73.375,69.625,70.1875,1595900
2000-03-28,69.375,73.0625,68.4375,70.125,2576200
2000-03-29,70.125,70.5,64.5,65.4375,3595400
2000-03-30,64.9375,69.375,61.625,61.625,2901600
2000-03-31,63.625,72.125,63.5,71.0625,5667700
2000-04-03,69.0,70.75,50.8125,65.5625,3430800
2000-04-04,66.75,72.0,60.875,68.6875,6226300
2000-04-05,67.40625,72.0,63.625,68.1875,3149700
2000-04-06,69.0,71.875,64.0,67.3125,2608600
2000-04-07,69.25,70.75,67.5,70.5625,2237000
2000-04-10,70.25,70.3125,63.875,63.875,3497100
2000-04-11,63.5,66.0625,60.5,62.75,4151000
2000-04-12,62.375,64.875,58.0,58.0,3264800
2000-04-13,59.625,62.3125,57.125,57.1875,3366700
2000-04-14,56.5,56.5,49.75,50.3125,3792400
2000-04-17,48.3125,62.0,47.9375,62.0,3678100
2000-04-18,61.75,63.25,58.75,62.1875,2229600
2000-04-19,62.1875,63.0,58.0,59.1875,2698800
2000-04-20,59.078125,61.375,57.125,59.75,2333600
2000-04-24,58.9375,61.0625,55.5,58.8125,1835800
2000-04-25,59.5,66.375,59.5,65.875,2279700
2000-04-26,64.5,64.625,59.5625,59.625,2432900
2000-04-27,58.6875,64.375,41.5,64.3125,2886300
2000-04-28,62.9375,64.875,60.625,64.8125,2392300
2000-05-01,64.9375,67.875,64.0,67.6875,2707300
2000-05-02,67.5,68.4375,63.5,63.875,2142100
2000-05-03,67.125,68.0,61.5,64.125,7447700
2000-05-04,64.5625,67.75,61.5,67.25,4756100
