Date,open,high,low,close,volume
2000-01-03,5.296875,5.296875,5.1328125,5.15625,4096800
2000-01-04,5.125,5.265625,5.125,5.25,5487200
2000-01-05,5.203125,5.53125,5.203125,5.421875,5488800
2000-01-06,5.4296875,5.4765625,5.375,5.421875,2960000
2000-01-07,5.453125,5.6015625,5.40625,5.578125,7999200
2000-01-10,5.5,5.5703125,5.4765625,5.53125,4168000
2000-01-11,5.484375,5.515625,5.4453125,5.46875,4122400
2000-01-12,5.46875,5.6171875,5.46875,5.5859375,6193600
2000-01-13,5.6015625,5.6015625,5.5,5.53125,3674400
2000-01-14,5.515625,5.546875,5.390625,5.4296875,4070400
2000-01-18,5.3984375,5.3984375,5.25,5.296875,5408000
2000-01-19,5.3046875,5.5,5.3046875,5.421875,3433600
2000-01-20,5.359375,5.390625,5.2734375,5.359375,5560000
2000-01-21,5.390625,5.5234375,5.3359375,5.5,4039200
2000-01-24,5.5390625,5.6484375,5.453125,5.46875,6968800
2000-01-25,5.4921875,5.5234375,5.234375,5.28125,6890400
2000-01-26,5.3125,5.3203125,5.203125,5.296875,4121600
2000-01-27,5.25,5.3125,5.15625,5.1875,3752800
2000-01-28,5.1875,5.2421875,5.1328125,5.1640625,4688000
2000-01-31,5.1953125,5.2734375,5.1640625,5.2734375,2659200
2000-02-01,5.2265625,5.25,5.1640625,5.1640625,2516000
2000-02-02,5.1953125,5.234375,5.1640625,5.1953125,5120000
2000-02-03,5.1953125,5.3984375,5.171875,5.359375,7605600
2000-02-04,5.359375,5.359375,5.1328125,5.203125,4384800
2000-02-07,5.203125,5.2578125,5.203125,5.2109375,4015200
2000-02-08,5.25,5.2890625,5.203125,5.2265625,3130400
2000-02-09,5.1953125,5.2421875,5.125,5.15625,5622400
2000-02-10,5.1484375,5.1953125,5.015625,5.0390625,3177600
2000-02-11,5.0703125,5.109375,5.03125,5.109375,2848800
2000-02-14,5.078125,5.171875,5.0625,5.09375,2068800
2000-02-15,5.0703125,5.1328125,5.0625,5.109375,3612800
2000-02-16,5.109375,5.171875,5.0859375,5.1171875,7360000
2000-02-17,5.1328125,5.140625,5.0703125,5.125,5864000
2000-02-18,5.109375,5.1328125,5.015625,5.0390625,10255200
2000-02-22,5.0625,5.1484375,5.0625,5.109375,4006400
2000-02-23,5.0078125,5.0625,4.90625,5.0234375,18380000
2000-02-24,4.9609375,4.96875,4.671875,4.75,6168000
2000-02-25,4.75,4.765625,4.546875,4.6015625,5560800
2000-02-28,4.6015625,4.765625,4.6015625,4.765625,5476000
2000-02-29,4.765625,4.8515625,4.7109375,4.828125,9773600
2000-03-01,4.828125,4.8984375,4.7578125,4.8203125,12016000
2000-03-02,4.7890625,4.875,4.7890625,4.8515625,4716800
2000-03-03,4.890625,4.9375,4.8515625,4.875,9020800
2000-03-06,4.90625,4.90625,4.7109375,4.7421875,5432800
2000-03-07,4.75,4.9296875,4.7421875,4.9140625,9948800
2000-03-08,4.90625,5.1953125,4.8515625,5.1640625,7708000
2000-03-09,5.171875,5.3515625,5.1640625,5.3515625,8442400
2000-03-10,5.3515625,5.546875,5.34375,5.46875,9176000
2000-03-13,5.4375,5.4453125,5.203125,5.265625,7949600
2000-03-14,5.28125,5.3515625,5.21875,5.234375,5797600
2000-03-15,5.2421875,5.6171875,5.234375,5.546875,7091200
2000-03-16,5.5859375,5.7265625,5.4453125,5.625,7689600
2000-03-17,5.609375,5.6171875,5.46875,5.484375,10521600
2000-03-20,5.453125,5.5546875,5.328125,5.3828125,6745600
2000-03-21,5.3046875,5.3671875,5.1484375,5.171875,8244800
2000-03-22,5.1796875,5.1796875,4.9453125,5.09375,5840000
2000-03-23,5.21875,5.3671875,5.1953125,5.3125,7215200
2000-03-24,5.4375,5.4453125,5.3125,5.4140625,9632000
2000-03-27,6.0,6.03125,5.8125,5.828125,10875200
2000-03-28,5.796875,5.8359375,5.5859375,5.6796875,6492800
2000-03-29,5.6484375,5.796875,5.5078125,5.578125,6240000
2000-03-30,5.6015625,5.75,5.59375,5.75,4350400
2000-03-31,5.75,5.8203125,5.609375,5.7578125,7694400
