Date,open,high,low,close,volume
2000-01-03,7.46875,7.4765625,6.953125,7.109375,11653600
2000-01-04,7.0859375,7.34375,6.7578125,6.78125,8544000
2000-01-05,6.6875,6.78125,6.03125,6.375,12973600
2000-01-06,6.28125,6.375,5.890625,6.0078125,11642400
2000-01-07,6.0,6.609375,5.984375,6.484375,16177600
2000-01-10,6.6875,7.125,6.625,7.09375,7756800
2000-01-11,7.09375,7.09375,6.390625,6.515625,6324800
2000-01-12,6.59375,6.671875,6.390625,6.671875,6470400
2000-01-13,6.71484375,6.984375,6.625,6.8359375,4000800
2000-01-14,6.890625,7.09375,6.609375,6.609375,4434400
2000-01-18,6.74609375,7.09375,6.7109375,6.84375,5034400
2000-01-19,6.9375,7.203125,6.875,7.0625,6753600
2000-01-20,7.390625,7.65625,7.25,7.5546875,19503200
2000-01-21,7.5625,7.609375,7.171875,7.28515625,8452800
2000-01-24,7.25,7.7109375,7.25,7.3046875,10001600
2000-01-25,7.375,7.390625,7.0,7.25,5762400
2000-01-26,7.25,7.59375,7.171875,7.2265625,7943200
2000-01-27,7.375,7.375,6.375,6.640625,8400800
2000-01-28,6.578125,6.7421875,6.203125,6.2578125,10860000
2000-01-31,6.28125,6.40625,5.8125,6.2578125,10579200
2000-02-01,6.359375,6.375,6.03125,6.3515625,5226400
2000-02-02,6.5,6.875,6.375,6.703125,7731200
2000-02-03,7.046875,7.36328125,6.84375,7.2265625,8777600
2000-02-04,7.234375,7.375,7.125,7.328125,7151200
2000-02-07,7.46875,8.125,7.3125,7.9296875,20037600
2000-02-08,8.0625,8.15625,7.59375,7.6328125,13778400
2000-02-09,7.78125,7.96875,7.625,7.859375,5768800
2000-02-10,7.859375,8.671875,7.859375,8.640625,14156800
2000-02-11,8.609375,8.625,8.046875,8.21875,10166400
2000-02-14,8.3125,8.359375,7.8984375,8.0,4259200
2000-02-15,8.03125,8.046875,7.734375,8.0,3693600
2000-02-16,7.9921875,8.4453125,7.984375,8.3046875,4661600
2000-02-17,8.34375,8.34375,7.96875,7.98828125,6163200
2000-02-18,8.0625,8.203125,7.859375,8.0,3620000
2000-02-22,8.1484375,8.265625,7.640625,8.0390625,6072000
2000-02-23,8.03125,8.5625,7.9375,8.4375,7748800
2000-02-24,8.5,8.625,8.234375,8.296875,7815200
2000-02-25,8.453125,9.0,8.3984375,8.96875,10382400
2000-02-28,9.0390625,9.234375,8.5625,8.75,8664000
2000-02-29,8.9375,9.3125,8.71875,8.9296875,7821600
2000-03-01,8.96875,9.3125,8.875,8.96875,9414400
2000-03-02,8.9921875,9.125,8.5,8.609375,6732800
2000-03-03,8.8125,9.34375,8.8125,9.0625,5336800
2000-03-06,9.2734375,9.703125,9.2578125,9.46875,7325600
2000-03-07,9.65625,9.9375,9.4453125,9.640625,9005600
2000-03-08,9.828125,9.875,9.671875,9.84375,10022400
2000-03-09,9.921875,10.203125,9.859375,10.046875,9001600
2000-03-10,10.0625,10.1875,9.90625,10.1015625,8627200
2000-03-13,9.9609375,10.03125,9.375,9.5703125,3676800
2000-03-14,9.65625,9.84375,8.21875,8.9921875,12992000
2000-03-15,9.015625,9.015625,8.234375,8.609375,9296800
2000-03-16,8.5390625,8.96875,7.890625,8.75,8513600
2000-03-17,8.484375,9.09375,8.4375,8.921875,3692000
2000-03-20,8.9375,9.25,8.75,8.7890625,4995200
2000-03-21,8.796875,8.9140625,8.25,8.71875,6002400
2000-03-22,8.75,9.1875,8.546875,9.0625,3897600
2000-03-23,9.140625,9.390625,8.9765625,9.0625,3748800
2000-03-24,9.078125,9.5,9.0,9.1640625,2595200
2000-03-27,9.25,9.421875,8.6640625,8.8828125,3605600
2000-03-28,8.9375,9.234375,8.8828125,9.140625,5792800
2000-03-29,9.1484375,9.1484375,8.375,8.9765625,7219200
2000-03-30,8.78125,9.1875,8.578125,9.0,9133600
2000-03-31,9.25,9.515625,9.03125,9.390625,11280000
2000-04-03,9.421875,9.546875,7.65625,7.7109375,13176000
2000-04-04,7.9921875,8.1875,6.546875,7.265625,16571200
2000-04-05,7.359375,8.1875,7.2421875,8.0,13575200
2000-04-06,8.1953125,8.2890625,7.875,8.125,4962400
2000-04-07,8.078125,8.375,8.0078125,8.328125,4152800
2000-04-10,8.484375,8.484375,7.625,7.671875,6331200
2000-04-11,7.5078125,8.0,7.25,7.43359375,5964000
2000-04-12,7.625,7.6875,7.125,7.2578125,5705600
2000-04-13,7.4609375,7.5,7.0625,7.140625,4160000
2000-04-14,7.0078125,7.015625,6.140625,6.5703125,10435200
2000-04-17,6.453125,7.4453125,6.3125,7.4375,7915200
2000-04-18,7.546875,8.0625,7.34375,7.9375,5761600
2000-04-19,8.0078125,8.421875,7.890625,8.3828125,8485600
2000-04-20,8.046875,8.046875,7.015625,7.4375,12801600
2000-04-24,7.21875,7.25,6.53125,6.90625,7550400
2000-04-25,7.125,7.484375,7.1171875,7.375,6702400
2000-04-26,7.53125,7.703125,6.859375,6.8984375,4660000
2000-04-27,6.8125,7.625,6.671875,7.421875,7299200
2000-04-28,7.5,7.8203125,7.3125,7.8046875,3033600
2000-05-01,7.8046875,7.96875,7.65625,7.7265625,3780800
2000-05-02,7.75,7.875,7.6875,7.6953125,5887200
2000-05-03,7.59765625,7.640625,7.0,7.3125,5497600
2000-05-04,7.44921875,7.75,7.34375,7.6328125,9112000
2000-05-05,7.8125,8.0,7.546875,7.5625,7707200
2000-05-08,7.5390625,7.625,7.3203125,7.4609375,7119200
2000-05-09,7.484375,7.578125,7.21875,7.5625,5348000
2000-05-10,7.515625,7.515625,6.90625,7.1015625,5454400
2000-05-11,7.3125,7.3125,6.796875,7.140625,8564800
2000-05-12,7.25,7.546875,7.0625,7.0703125,3802400
2000-05-15,7.1875,7.328125,7.0,7.3046875,4304000
2000-05-16,7.40625,7.65625,7.3984375,7.5625,5498400
2000-05-17,7.4921875,8.234375,7.40625,8.1875,10359200
2000-05-18,8.0703125,8.3671875,7.8125,7.8671875,6935200
2000-05-19,7.859375,8.1171875,7.75,7.7890625,4989600
2000-05-22,7.734375,7.84375,7.1875,7.75,3828000
2000-05-23,7.6875,7.9765625,7.25,7.28125,3637600
2000-05-24,7.28125,8.0234375,7.1875,8.0234375,6028800
2000-05-25,7.96875,8.46875,7.8125,7.875,7055200
2000-05-26,7.890625,7.9375,7.75,7.8125,1272800
2000-05-30,7.9375,8.5078125,7.8125,8.5078125,5825600
2000-05-31,8.4453125,8.46875,8.046875,8.21875,4246400
2000-06-01,8.328125,8.78125,8.328125,8.75,9565600
2000-06-02,8.8828125,9.0078125,8.6328125,8.7421875,6306400
2000-06-05,8.75390625,8.8125,8.5625,8.7421875,3910400
2000-06-06,8.875,8.9375,8.578125,8.609375,4073600
2000-06-07,8.56640625,8.78125,8.5625,8.75,4895200
2000-06-08,8.8046875,8.9140625,8.5625,8.6875,5634400
2000-06-09,8.7421875,9.140625,8.671875,8.9375,6325600
2000-06-12,9.0,9.09375,8.625,8.6328125,3366400
2000-06-13,8.578125,8.921875,8.5,8.8828125,3530400
2000-06-14,8.921875,8.9609375,8.5625,8.6171875,4892800
2000-06-15,8.609375,9.125,8.578125,8.890625,6732000
2000-06-16,9.0078125,9.09375,8.578125,8.6484375,6318400
2000-06-19,8.59375,8.640625,7.671875,7.828125,13390400
2000-06-20,7.96875,8.0078125,7.8046875,7.8125,10376800
2000-06-21,7.875,8.0,7.25,7.453125,7778400
2000-06-22,7.55859375,7.5625,6.953125,7.09375,12482400
2000-06-23,7.2265625,7.59375,7.0625,7.328125,10220800
2000-06-26,7.31640625,7.4375,6.5625,6.71875,9172000
2000-06-27,6.8046875,6.9765625,6.5625,6.59375,10784000
2000-06-28,6.7421875,7.0,6.6875,6.8671875,9665600
2000-06-29,6.734375,7.234375,6.734375,7.125,6806400
2000-06-30,7.0859375,7.15625,6.5,6.7421875,9589600
2000-07-03,6.703125,6.875,6.5625,6.7734375,2783200
2000-07-05,6.703125,6.703125,6.0,6.0078125,11044000
2000-07-06,6.1328125,6.5078125,5.9375,6.4375,14459200
2000-07-07,6.484375,6.5390625,6.1953125,6.3515625,16140800
2000-07-10,6.30859375,6.5,6.0625,6.3046875,7588800
2000-07-11,6.3125,6.4375,6.1953125,6.25,6932000
2000-07-12,6.2734375,6.3359375,6.1875,6.21875,10446400
2000-07-13,6.390625,6.5,6.1640625,6.25,11045600
2000-07-14,6.5,6.6875,6.2578125,6.546875,8127200
2000-07-17,6.7890625,6.8125,6.5,6.59375,6418400
2000-07-18,6.65625,6.65625,6.28125,6.34375,6197600
2000-07-19,6.3828125,6.3984375,5.78125,5.90625,8640800
2000-07-20,6.4765625,7.6875,6.4609375,7.546875,25139200
2000-07-21,7.3671875,8.0625,7.1875,7.5625,11597600
2000-07-24,7.484375,7.765625,7.234375,7.5,5332800
2000-07-25,7.515625,7.6015625,7.4375,7.5,6013600
2000-07-26,7.41796875,8.125,7.40625,7.9609375,6459200
2000-07-27,7.15625,7.1796875,6.140625,6.28125,30843200
2000-07-28,6.1875,6.3828125,6.0625,6.1328125,11786400
2000-07-31,6.234375,6.421875,5.859375,6.40625,15932000
2000-08-01,6.265625,6.484375,6.171875,6.2109375,10269600
2000-08-02,6.2265625,6.7421875,6.03125,6.578125,11245600
2000-08-03,6.34375,6.984375,6.2734375,6.9765625,9987200
2000-08-04,6.97265625,7.203125,6.859375,6.8828125,13859200
2000-08-07,6.8828125,6.8828125,6.65625,6.734375,6441600
2000-08-08,6.7265625,6.78125,6.578125,6.6796875,4220000
2000-08-09,6.7890625,6.8046875,6.4296875,6.5,5062400
2000-08-10,6.4609375,6.53125,6.1015625,6.171875,11378400
2000-08-11,6.09765625,6.1875,5.984375,6.046875,7015200
2000-08-14,6.0078125,6.0859375,5.6171875,5.65625,12604800
2000-08-15,5.6484375,5.6484375,5.34375,5.4921875,20768000
2000-08-16,5.46875,6.140625,5.40625,6.0390625,17010400
2000-08-17,6.0625,6.0625,5.7890625,5.8671875,12026400
2000-08-18,5.9609375,6.349609375,5.921875,6.3046875,9806400
2000-08-21,6.75390625,6.78125,6.34375,6.3828125,9449600
2000-08-22,6.6171875,6.6796875,6.46875,6.484375,5759200
2000-08-23,6.3984375,6.4140625,6.015625,6.1015625,9794400
2000-08-24,6.1796875,6.265625,6.1015625,6.21875,6847200
2000-08-25,6.2265625,6.25,6.015625,6.15625,4956000
2000-08-28,6.15625,6.21875,6.0,6.1875,7023200
2000-08-29,6.171875,6.171875,5.953125,6.046875,6199200
2000-08-30,6.0,6.078125,5.9453125,6.0546875,6048800
2000-08-31,6.125,6.203125,6.078125,6.1015625,7705600
2000-09-01,6.21875,6.53125,6.171875,6.515625,12787200
2000-09-05,6.55078125,6.6171875,6.125,6.21875,9332800
2000-09-06,6.21875,6.2421875,5.9921875,6.0078125,9730400
2000-09-07,6.0546875,6.15625,6.0234375,6.140625,12140800
2000-09-08,6.1796875,6.1796875,5.71875,6.0,20242400
2000-09-11,5.9765625,6.09375,5.75,5.921875,6981600
2000-09-12,5.9453125,5.96875,5.7265625,5.8125,11321600
2000-09-13,5.7890625,5.96875,5.7734375,5.9375,17892800
2000-09-14,5.984375,6.0703125,5.765625,5.890625,13702400
2000-09-15,5.8359375,5.9453125,5.703125,5.71875,11328800
2000-09-18,5.7734375,5.7734375,5.375,5.4453125,10626400
2000-09-19,5.5,5.796875,5.4453125,5.5234375,17999200
2000-09-20,5.640625,5.65625,5.109375,5.234375,19901600
2000-09-21,5.359375,5.359375,5.109375,5.171875,10128800
2000-09-22,4.99609375,5.390625,4.84375,5.3828125,19534400
2000-09-25,5.5625,5.7890625,5.375,5.3828125,11408000
2000-09-26,5.625,5.703125,5.265625,5.328125,7560800
2000-09-27,5.453125,5.6171875,5.296875,5.4609375,6582400
2000-09-28,5.4375,5.9609375,5.359375,5.9375,10429600
2000-09-29,5.796875,5.8125,5.46875,5.5,11530400
2000-10-02,5.625,5.765625,5.125,5.125,18212800
2000-10-03,5.25,5.390625,5.1875,5.21875,16746400
2000-10-04,5.3359375,5.5,5.21875,5.3828125,8589600
2000-10-05,5.328125,5.9375,5.3125,5.4921875,16811200
2000-10-06,5.5546875,5.6875,5.5,5.5546875,17651200
2000-10-09,5.65625,5.71875,5.5,5.625,6812000
2000-10-10,5.5546875,5.75,5.4921875,5.625,8013600
2000-10-11,5.453125,5.7734375,5.3125,5.65625,7854400
2000-10-12,5.65625,5.6875,5.1640625,5.21875,9574400
2000-10-13,5.15625,5.5546875,5.125,5.46875,10659200
2000-10-16,5.5078125,5.5625,5.328125,5.3828125,12997600
2000-10-17,5.359375,5.359375,5.1171875,5.140625,15515200
2000-10-18,5.078125,5.234375,4.890625,4.9453125,16378400
2000-10-19,4.7421875,4.75,3.9296875,4.2421875,63527200
2000-10-20,4.203125,4.515625,4.171875,4.5078125,16751200
2000-10-23,4.6875,4.765625,4.609375,4.7265625,10768800
2000-10-24,4.873046875,4.875,4.40625,4.46875,11301600
2000-10-25,4.390625,4.578125,4.3125,4.4375,7680800
2000-10-26,4.4609375,4.78125,4.4375,4.78125,13136000
2000-10-27,4.96875,4.96875,4.6875,4.75,13775200
2000-10-30,4.90625,4.9375,4.5390625,4.640625,12044800
2000-10-31,4.765625,4.984375,4.6640625,4.8828125,7076800
2000-11-01,4.8046875,4.90625,4.6015625,4.625,6719200
2000-11-02,4.7421875,4.859375,4.6484375,4.78125,7462400
2000-11-03,4.75390625,4.8203125,4.6640625,4.71875,7231200
2000-11-06,4.8125,4.8125,4.5859375,4.59375,8320800
2000-11-07,4.65625,4.703125,4.53125,4.671875,4182400
2000-11-08,4.640625,4.7265625,4.59375,4.6328125,4020000
2000-11-09,4.6171875,4.6171875,4.296875,4.4453125,6276800
2000-11-10,4.359375,4.3828125,4.203125,4.21875,8404800
2000-11-13,4.2265625,4.59375,4.015625,4.46875,9745600
2000-11-14,4.6171875,4.796875,4.6171875,4.640625,9200800
2000-11-15,4.625,4.953125,4.5,4.875,10067200
2000-11-16,4.84375,4.84375,4.6171875,4.6171875,5484000
2000-11-17,4.6484375,4.7265625,4.5,4.625,4228800
2000-11-20,4.6328125,4.6328125,4.4375,4.5546875,5664000
2000-11-21,4.55078125,4.5859375,4.296875,4.4296875,5040800
2000-11-22,4.3828125,4.546875,4.3125,4.4921875,7124000
2000-11-24,4.5625,4.78125,4.5546875,4.7578125,4280800
