Date,open,high,low,close,volume
2000-01-03,21.5,21.5625,21.0,21.5625,85600
2000-01-04,21.5,21.5,21.125,21.25,64200
2000-01-05,21.25,21.3125,21.0,21.0625,34700
2000-01-06,21.0,21.6875,21.0,21.4375,113700
2000-01-07,21.25,22.1875,21.25,22.1875,175100
2000-01-10,22.3125,22.6875,22.3125,22.5625,66400
2000-01-11,22.5625,22.875,22.5625,22.6875,165100
2000-01-12,22.5625,22.75,22.5625,22.75,35000
2000-01-13,23.0,23.1875,22.875,23.0,89900
2000-01-14,23.1875,23.1875,22.375,22.375,24900
2000-01-18,22.25,22.625,22.25,22.5,39300
2000-01-19,22.25,22.25,22.125,22.1875,70800
2000-01-20,22.25,22.5,22.1875,22.4375,26000
2000-01-21,22.1875,22.4375,22.1875,22.3125,20000
2000-01-24,22.3125,22.3125,22.0,22.0625,57900
2000-01-25,22.1875,22.1875,21.9375,21.9375,13400
2000-01-26,21.9375,22.125,21.9375,22.0625,7400
2000-01-27,22.0,22.25,21.75,22.0625,99300
2000-01-28,22.0625,22.125,21.875,22.0,13000
2000-01-31,22.0,22.1875,21.75,21.75,46800
2000-02-01,21.875,21.9375,21.625,21.8125,12700
2000-02-02,21.8125,21.8125,21.5625,21.75,19600
2000-02-03,21.75,22.125,21.75,22.0,18000
2000-02-04,22.0,22.3125,22.0,22.3125,33600
2000-02-07,22.25,22.375,22.0,22.25,64800
2000-02-08,22.25,22.6875,22.25,22.625,47300
2000-02-09,22.625,22.9375,22.625,22.6875,113500
2000-02-10,22.8125,22.9375,22.4375,22.5,58800
2000-02-11,22.5,22.6875,21.9375,22.3125,44700
2000-02-14,22.0625,22.1875,21.625,21.625,73400
2000-02-15,21.625,22.0,21.625,21.8125,103700
2000-02-16,21.5625,21.75,21.4375,21.5625,46400
2000-02-17,21.5,22.0625,21.125,22.0625,91100
2000-02-18,22.0,22.375,21.875,22.125,31100
2000-02-22,22.125,22.625,22.0,22.625,200900
2000-02-23,22.5,22.625,22.25,22.625,51800
2000-02-24,22.625,22.9375,22.625,22.8125,153400
2000-02-25,22.75,23.25,22.75,23.0625,156300
2000-02-28,22.625,23.1875,22.625,23.0625,77300
2000-02-29,23.0,23.25,23.0,23.1875,99000
2000-03-01,23.1875,23.4375,22.9375,23.4375,57400
2000-03-02,23.3125,23.375,23.0625,23.125,58000
2000-03-03,23.25,23.25,22.625,23.125,75200
2000-03-06,23.125,23.1875,23.0,23.125,60900
2000-03-07,23.0,23.0,22.3125,22.3125,341300
2000-03-08,22.4375,22.5625,22.0625,22.4375,32700
2000-03-09,22.4375,22.4375,22.0625,22.3125,28900
2000-03-10,22.3125,22.375,22.0,22.0,41600
2000-03-13,21.8125,22.375,21.8125,22.0,33500
2000-03-14,21.9375,22.0,21.625,21.75,36900
2000-03-15,21.8125,21.8125,21.25,21.3125,80700
2000-03-16,21.1875,22.8125,21.125,22.625,65400
2000-03-17,22.4375,23.0,22.4375,23.0,18400
2000-03-20,22.875,23.1875,22.75,23.0,44900
2000-03-21,22.875,22.875,22.3125,22.625,21700
2000-03-22,22.5,23.375,22.5,23.375,57000
2000-03-23,23.375,23.8125,23.3125,23.625,97400
2000-03-24,23.625,23.8125,23.3125,23.625,83600
2000-03-27,23.5625,24.0,23.5625,23.8125,40200
2000-03-28,23.8125,24.0,23.8125,24.0,195700
2000-03-29,23.5625,24.5,23.5625,24.4375,335600
