Date,open,high,low,close,volume
2000-01-03,142.625,145.84375,133.53125,138.25,2587000
2000-01-04,140.5,143.75,135.0,135.0,3019600
2000-01-05,129.0,129.1875,117.03125,125.0,3086800
2000-01-06,113.25,113.5,104.25,108.0,3922600
2000-01-07,112.0,117.1875,110.78125,117.1875,2244000
2000-01-10,126.375,126.375,118.75,125.0,2297600
2000-01-11,122.5,122.5,116.0,116.25,1707200
2000-01-12,119.125,119.9375,109.5,112.8125,2190200
2000-01-13,116.4375,116.4375,113.75,115.15625,965200
2000-01-14,115.25,116.71875,111.375,113.5,1283200
2000-01-18,112.875,115.84375,112.6875,115.5625,923000
2000-01-19,110.96875,112.84375,110.375,112.6875,520600
2000-01-20,112.8125,115.0,112.8125,114.0,452600
2000-01-21,116.0625,117.875,114.6875,117.5,516800
2000-01-24,120.8125,121.9375,116.625,116.6875,634200
2000-01-25,118.25,119.625,116.8125,119.625,537200
2000-01-26,123.25,124.0,121.09375,122.625,755400
2000-01-27,123.75,124.75,122.15625,123.375,442600
2000-01-28,125.28125,128.125,120.875,121.53125,688400
2000-01-31,124.5625,126.96875,123.125,126.5,628200
2000-02-01,126.46875,126.96875,125.0625,126.6875,407800
2000-02-02,127.25,129.75,127.25,129.71875,548200
2000-02-03,131.5,131.9375,129.75,131.375,596200
2000-02-04,132.0,135.375,132.0,134.65625,1030400
2000-02-07,137.46875,138.96875,136.375,138.9375,510600
2000-02-08,134.5625,137.3125,133.5625,136.75,840600
2000-02-09,135.4375,135.75,133.5625,133.8125,478800
2000-02-10,132.84375,133.6875,132.0,133.5,321000
2000-02-11,132.5,133.0,130.0,130.5625,225000
2000-02-14,129.0,129.0,127.34375,128.15625,388400
2000-02-15,127.96875,129.21875,126.0,129.0,389800
2000-02-16,127.375,127.375,125.0,125.28125,513800
2000-02-17,130.0,132.21875,130.0,131.0,606800
2000-02-18,134.375,137.125,133.6875,133.6875,873000
2000-02-22,136.5,138.875,135.75,137.03125,846000
2000-02-23,136.0,140.4375,136.0,140.4375,598600
2000-02-24,136.75,140.0,134.53125,139.03125,924000
2000-02-25,139.03125,139.875,137.5625,137.9375,476600
2000-02-28,139.5,146.84375,139.5,144.59375,1302600
2000-02-29,154.5,157.375,152.5,156.75,1609200
2000-03-01,150.5,156.5,150.09375,156.0,1566600
2000-03-02,151.5,152.25,148.03125,149.96875,686800
2000-03-03,145.75,149.71875,145.53125,149.71875,681600
2000-03-06,139.3125,140.46875,135.25,135.9375,1212200
2000-03-07,136.0625,137.96875,133.0,133.75,1008800
2000-03-08,135.3125,139.0625,134.5,138.09375,851400
2000-03-09,134.9375,134.9375,125.40625,129.53125,2033200
2000-03-10,124.125,126.375,119.875,121.875,1827000
2000-03-13,109.0,118.4375,108.5,112.75,2187800
2000-03-14,121.15625,123.71875,120.5,120.65625,1697600
2000-03-15,126.625,127.8125,124.53125,127.46875,1320200
2000-03-16,127.75,127.8125,122.75,125.0,1315600
2000-03-17,124.8125,125.96875,123.03125,124.03125,457000
2000-03-20,123.90625,124.75,122.65625,123.6875,310600
2000-03-21,121.5625,122.625,120.59375,122.625,424800
2000-03-22,123.125,124.46875,123.125,124.25,517000
2000-03-23,121.5,121.65625,119.78125,120.75,421200
2000-03-24,120.71875,121.28125,119.9375,120.90625,318400
2000-03-27,123.25,125.4375,123.25,124.125,426400
2000-03-28,122.875,124.5625,122.84375,123.40625,306000
2000-03-29,130.0,130.0,127.03125,127.71875,1172400
2000-03-30,132.75,136.1875,132.75,134.25,1082400
2000-03-31,139.0,140.84375,138.03125,140.0625,709800
2000-04-03,141.25,141.25,137.0625,137.5625,740200
2000-04-04,138.1875,139.6875,131.0,134.375,1800000
2000-04-05,133.4375,133.9375,132.53125,133.40625,735600
2000-04-06,134.25,136.25,133.625,135.71875,432200
2000-04-07,134.0,136.3125,134.0,136.0,441800
2000-04-10,136.8125,137.1875,135.0,135.15625,403600
2000-04-11,133.25,133.25,131.0625,131.5,484400
2000-04-12,131.875,132.46875,128.375,128.59375,816800
2000-04-13,127.5,128.4375,125.75,125.78125,522800
2000-04-14,124.625,124.9375,116.75,116.75,1093800
2000-04-17,114.625,123.25,111.5625,123.25,1381400
2000-04-18,120.1875,122.21875,118.5625,122.1875,1329200
2000-04-19,120.625,120.96875,118.5625,118.5625,424600
2000-04-20,119.5,120.46875,117.75,118.25,388000
2000-04-24,116.375,117.375,112.0,114.65625,824600
2000-04-25,119.625,120.46875,118.5,119.5625,1287600
2000-04-26,119.0,119.21875,117.5,117.75,396800
2000-04-27,114.25,116.6875,114.25,116.65625,495000
2000-04-28,116.5,117.25,111.9375,112.8125,815800
2000-05-01,113.5,117.40625,113.5,115.6875,670000
2000-05-02,114.9375,114.9375,112.53125,112.53125,338800
2000-05-03,112.09375,113.0625,109.0,109.875,709200
2000-05-04,110.75,110.75,109.71875,109.875,409800
2000-05-05,109.75,111.78125,109.0,110.78125,914800
2000-05-08,110.125,110.375,108.3125,109.65625,652000
2000-05-09,107.875,107.875,106.125,106.6875,472200
2000-05-10,107.3125,108.25,105.0,105.625,750800
2000-05-11,106.375,108.84375,105.5625,108.71875,607200
2000-05-12,108.84375,109.5625,108.0,109.5,299400
2000-05-15,106.625,108.0,106.53125,107.8125,306000
2000-05-16,108.6875,108.96875,107.8125,108.6875,397600
2000-05-17,107.0,107.9375,106.25,106.75,250400
2000-05-18,106.3125,106.3125,103.53125,104.0,424800
2000-05-19,101.25,101.90625,97.6875,99.71875,898600
2000-05-22,95.125,95.875,93.0625,94.90625,1278400
2000-05-23,94.1875,95.0,92.75,93.21875,602200
2000-05-24,89.25,91.5,89.09375,91.25,992800
2000-05-25,93.25,94.375,92.0,92.0,501500
2000-05-26,91.0,91.25,88.75,90.6875,207000
2000-05-30,93.5,96.9375,93.4375,96.875,845700
2000-05-31,91.125,92.5,90.6875,91.1875,477900
2000-06-01,91.0,91.6875,89.0,91.5,562300
2000-06-02,98.875,100.75,97.0,99.0,1048700
2000-06-05,100.0,103.5,100.0,101.625,813800
2000-06-06,103.5,104.9375,102.125,102.4375,613800
2000-06-07,102.625,104.4375,102.625,104.125,187700
2000-06-08,102.75,103.4375,101.375,101.875,258800
2000-06-09,100.875,101.4375,99.75,100.5625,194400
2000-06-12,99.375,99.4375,98.5,99.0,160000
2000-06-13,97.75,97.8125,96.1875,97.5625,217300
2000-06-14,94.375,94.625,90.5625,90.5625,462900
2000-06-15,90.75,91.75,90.3125,90.9375,345100
2000-06-16,91.9375,91.9375,90.0,90.25,314500
2000-06-19,91.0,92.5625,90.6875,91.75,672900
2000-06-20,92.875,94.3125,92.5,93.0,676200
2000-06-21,94.5,94.6875,93.75,94.3125,766600
2000-06-22,96.75,96.9375,94.625,94.625,470900
2000-06-23,95.875,95.9375,93.5625,94.0625,174600
2000-06-26,94.0,94.125,92.75,94.125,298000
2000-06-27,93.875,93.9375,92.875,93.0625,345100
2000-06-28,93.4375,93.9375,93.0,93.6875,378800
2000-06-29,95.0,95.8125,93.875,94.6875,474800
2000-06-30,94.625,95.4375,94.0,94.3125,152100
2000-07-03,97.4375,98.875,96.8125,98.5,177900
2000-07-05,98.9375,98.9375,97.125,97.25,201000
2000-07-06,100.5,103.5625,100.5,103.5625,522400
2000-07-07,103.75,104.125,102.375,102.625,435000
2000-07-10,104.0,105.4375,103.4375,103.75,303800
2000-07-11,100.75,103.25,100.75,102.9375,331500
2000-07-12,102.9375,102.9375,100.0,101.1875,339600
2000-07-13,98.125,100.125,98.0,99.25,439800
2000-07-14,100.5,102.3125,100.0,101.625,265400
