Date,open,high,low,close,volume
2000-01-03,10.25,10.3125,10.0,10.0625,383100
2000-01-04,10.0625,10.125,9.6875,9.75,321700
2000-01-05,9.75,9.875,9.5,9.6875,327600
2000-01-06,9.5625,9.875,9.125,9.875,663900
2000-01-07,9.75,9.875,9.375,9.75,313000
2000-01-10,9.8125,10.0,9.625,9.875,401000
2000-01-11,9.875,10.25,9.6875,9.6875,448000
2000-01-12,9.6875,11.1875,9.6875,11.0,751200
2000-01-13,11.375,11.9375,11.25,11.625,851500
2000-01-14,11.6875,11.75,11.125,11.375,422400
2000-01-18,11.5625,11.6875,11.0,11.125,216600
2000-01-19,11.0,11.0,10.625,10.625,232600
2000-01-20,10.625,10.75,10.3125,10.5625,233200
2000-01-21,10.5625,10.625,10.25,10.3125,272200
2000-01-24,10.1875,10.4375,10.0,10.0,268300
2000-01-25,10.0,10.1875,9.8125,10.0,274700
2000-01-26,10.125,10.9375,9.9375,10.75,648500
2000-01-27,10.5,10.625,10.25,10.5,274600
2000-01-28,10.5625,10.5625,10.1875,10.1875,321200
2000-01-31,10.0625,10.5625,10.0,10.5,309100
2000-02-01,10.5625,11.375,10.5625,11.125,347900
2000-02-02,11.25,12.125,11.25,11.75,908500
2000-02-03,11.8125,12.0,11.125,11.25,553600
2000-02-04,11.5,11.625,11.0,11.375,348700
2000-02-07,11.25,11.3125,10.9375,11.0,292300
2000-02-08,11.125,11.25,10.9375,11.1875,196500
2000-02-09,11.1875,11.25,11.0625,11.1875,326700
2000-02-10,11.1875,11.5,10.9375,11.3125,943200
2000-02-11,11.375,11.5,11.125,11.125,1692500
2000-02-14,11.0,11.0625,10.75,10.875,242400
2000-02-15,10.8125,11.0,10.625,10.8125,405200
2000-02-16,10.9375,10.9375,10.625,10.75,277300
2000-02-17,10.75,10.8125,10.5,10.5,197600
2000-02-18,10.6875,10.75,10.375,10.5,176000
2000-02-22,10.6875,10.8125,10.25,10.375,355000
2000-02-23,10.375,10.375,10.1875,10.3125,242400
2000-02-24,10.375,10.375,10.0,10.1875,187700
2000-02-25,10.3125,10.375,10.0,10.0625,187100
2000-02-28,10.0625,10.0625,9.875,9.875,171700
2000-02-29,10.0,10.0625,9.6875,9.6875,264700
2000-03-01,9.6875,9.8125,9.5,9.75,273400
2000-03-02,9.75,10.3125,9.4375,9.6875,337300
2000-03-03,9.625,10.1875,9.625,10.125,261300
2000-03-06,10.0,10.125,9.8125,9.8125,170000
2000-03-07,9.8125,10.125,9.71875,9.75,733100
2000-03-08,9.6875,9.875,9.3125,9.5,273800
2000-03-09,9.5,9.625,9.3125,9.5,242300
