Date,open,high,low,close,volume
2000-01-03,97.5,97.625,96.75,97.125,21200.0
2000-01-04,95.25,95.25,92.375,92.625,18800.0
2000-01-05,94.0,94.0,92.5,93.0,21000.0
2000-01-06,84.5,85.5,84.5,84.75,54800.0
2000-01-07,84.125,86.125,84.125,86.0,59800.0
2000-01-10,87.5,89.375,87.5,89.0625,20700.0
2000-01-11,87.9375,87.9375,87.1875,87.1875,39300.0
2000-01-12,85.5,86.0,85.25,85.5,27700.0
2000-01-13,86.0,86.25,85.5,85.8125,13000.0
2000-01-14,86.875,87.6875,86.875,87.6875,6800.0
2000-01-18,85.0,85.0,84.1875,84.625,17000.0
2000-01-19,80.0,80.8125,79.875,80.625,55900.0
2000-01-20,83.0,83.625,83.0,83.625,14200.0
2000-01-21,85.5,85.875,85.25,85.875,12000.0
2000-01-24,86.875,88.0,86.625,86.9375,50500.0
2000-01-25,84.5,84.625,83.25,83.25,14800.0
2000-01-26,85.0,86.0,85.0,85.75,7900.0
2000-01-27,85.3125,86.125,85.3125,85.625,6700.0
2000-01-28,86.875,87.0,86.0,86.0,52300.0
2000-01-31,87.0,87.25,86.625,87.25,19600.0
2000-02-01,87.5,89.25,87.5,89.25,16500.0
2000-02-02,87.0,87.0,86.625,87.0,12700.0
2000-02-03,85.5,86.625,85.5,86.375,8300.0
2000-02-04,89.0,90.0,88.75,90.0,9100.0
2000-02-07,90.75,92.5,90.75,91.875,26700.0
2000-02-08,91.0,91.375,90.75,91.0,26500.0
2000-02-09,90.25,90.9375,89.625,90.625,19300.0
2000-02-10,89.0,90.125,89.0,89.875,27500.0
2000-02-11,90.0,90.0,88.25,88.3125,21200.0
2000-02-14,86.75,86.9375,86.0,86.3125,14400.0
2000-02-15,84.75,84.75,83.625,84.125,9700.0
2000-02-16,83.5,83.75,82.375,82.5,55600.0
2000-02-17,86.0,86.125,85.0,85.75,17800.0
2000-02-18,84.25,85.375,83.75,84.375,47200.0
2000-02-22,81.0,81.0,80.5,80.6875,19400.0
2000-02-23,80.9375,82.5,80.9375,82.375,11500.0
2000-02-24,82.625,82.75,81.875,82.0,15100.0
2000-02-25,81.75,82.75,81.375,82.25,11200.0
2000-02-28,82.25,83.125,81.9375,83.125,17600.0
2000-02-29,81.0,81.5,80.6875,81.3125,17400.0
2000-03-01,81.3125,82.625,81.0,82.0625,25800.0
2000-03-02,81.8125,81.875,81.25,81.375,17000.0
2000-03-03,81.5625,82.375,81.375,81.9375,19100.0
2000-03-06,81.0,81.375,80.5,80.625,13200.0
2000-03-07,83.5,84.125,83.5,83.5,17500.0
2000-03-08,83.75,85.3125,83.75,85.0,39600.0
2000-03-09,86.0,86.875,86.0,86.5,14900.0
2000-03-10,89.5,90.5625,89.375,89.6875,18100.0
2000-03-13,89.4375,89.4375,88.5,88.625,16600.0
2000-03-14,89.625,90.125,89.0625,89.0625,17700.0
2000-03-15,89.0625,89.0625,88.25,88.75,15200.0
2000-03-16,91.375,92.5,90.875,92.5,80200.0
2000-03-17,92.5,92.8125,91.9375,91.9375,10400.0
2000-03-20,92.0,92.0,90.625,90.75,17700.0
2000-03-21,92.25,93.25,92.0,93.125,47300.0
2000-03-22,90.75,90.75,89.75,90.25,24600.0
2000-03-23,90.25,92.0,90.25,91.875,21600.0
2000-03-24,94.0,94.625,93.0,93.5625,41900.0
2000-03-27,98.0,98.25,97.625,97.875,31700.0
2000-03-28,98.3125,99.1875,98.25,99.1875,25300.0
2000-03-29,100.625,101.75,100.625,101.5625,22100.0
2000-03-30,101.0,101.0625,99.25,99.375,15400.0
2000-03-31,103.0,104.0,101.875,104.0,21300.0
2000-04-03,104.75,105.5,104.0625,104.75,25300.0
2000-04-04,104.75,105.3125,102.625,104.125,27500.0
2000-04-05,103.0,104.0,102.75,103.5,34500.0
2000-04-06,98.0,98.625,97.375,98.25,33600.0
2000-04-07,98.5,98.5,97.375,98.0,17000.0
2000-04-10,101.4375,102.625,101.25,102.0,24000.0
2000-04-11,102.3125,102.875,102.0,102.25,10800.0
2000-04-12,103.125,103.625,103.125,103.375,16100.0
2000-04-13,104.625,105.0,104.0,105.0,5600.0
2000-04-14,106.0,107.0,101.3125,101.8125,28000.0
2000-04-17,101.75,102.4375,101.375,101.875,25500.0
2000-04-18,104.5,106.0,104.5,106.0,12100.0
2000-04-19,105.5,105.5,103.875,104.25,10600.0
2000-04-20,107.0,107.125,106.25,106.25,4800.0
2000-04-24,106.0,106.25,105.125,106.0625,7100.0
2000-04-25,107.0,108.25,107.0,108.125,9400.0
2000-04-26,102.0,104.375,101.75,102.375,50400.0
2000-04-27,102.25,102.9375,102.125,102.9375,11500.0
2000-04-28,101.5,101.5625,99.9375,99.9375,86200.0
2000-05-01,102.75,103.75,102.5,103.5,48300.0
2000-05-02,102.125,102.5,101.9375,102.5,5100.0
2000-05-03,102.5,102.5,100.625,101.25,11800.0
2000-05-04,101.0,101.9375,100.75,101.875,8900.0
2000-05-05,101.75,102.25,101.625,102.0625,12900.0
2000-05-08,101.6875,101.75,101.0,101.5,9000.0
2000-05-09,101.5,101.5,100.375,100.375,12700.0
2000-05-10,101.5,101.625,99.375,99.5,11600.0
2000-05-11,98.0,98.75,97.375,98.375,26200.0
2000-05-12,98.3125,98.3125,96.6875,96.75,14900.0
2000-05-15,95.75,95.75,94.625,94.875,15300.0
2000-05-16,94.0,94.125,93.125,93.125,17500.0
2000-05-17,92.0,92.0,90.875,90.875,22900.0
2000-05-18,98.0,98.75,97.625,98.0,28700.0
2000-05-19,97.9375,98.0,97.25,97.4375,6800.0
2000-05-22,94.0,94.0,91.9375,92.25,10700.0
2000-05-23,94.5,94.625,93.25,93.5,24300.0
2000-05-24,93.75,94.125,93.5,93.75,31500.0
2000-05-25,94.0,94.375,93.75,94.0,34900.0
2000-05-26,93.75,93.9375,93.625,93.8125,6500.0
2000-05-30,93.625,94.375,92.75,94.3125,40900.0
2000-05-31,92.5,92.5,91.1875,91.375,13400.0
2000-06-01,91.125,93.625,91.125,93.0,41900.0
2000-06-02,93.125,93.75,92.375,93.375,25900.0
2000-06-05,95.875,96.0,95.5625,95.75,7500.0
2000-06-06,95.75,95.75,95.25,95.5,6700.0
2000-06-07,96.0,96.0,95.5,95.875,19800.0
2000-06-08,95.5625,95.5625,94.875,95.125,5400.0
2000-06-09,94.0625,94.1875,94.0625,94.1875,2400.0
2000-06-12,94.1875,94.4375,94.0625,94.3125,6700.0
2000-06-13,93.0,93.0,91.25,91.25,16000.0
2000-06-14,87.0,87.0,86.0,86.25,39200.0
2000-06-15,86.5,86.5,84.625,84.8125,42400.0
2000-06-16,84.0,84.0,83.1875,83.875,40100.0
2000-06-19,85.75,86.3125,85.5625,86.3125,50000.0
2000-06-20,89.25,89.25,88.5,88.75,8700.0
2000-06-21,90.0,90.125,89.8125,90.0,5200.0
2000-06-22,91.125,91.125,89.75,89.75,10600.0
2000-06-23,89.75,89.75,88.875,89.0,7100.0
2000-06-26,88.75,88.75,87.875,87.875,9000.0
2000-06-27,89.25,89.5,89.0625,89.1875,33300.0
2000-06-28,91.5,92.0,91.375,92.0,47100.0
2000-06-29,93.0,93.5,92.875,93.5,9500.0
2000-06-30,93.625,93.875,93.125,93.1875,7100.0
2000-07-03,90.0,90.0,89.0625,89.5,12700.0
2000-07-05,89.25,89.25,88.1875,88.1875,5900.0
2000-07-06,88.4375,88.875,88.4375,88.5625,4000.0
2000-07-07,88.8125,89.125,88.8125,89.125,1700.0
2000-07-10,93.25,93.375,93.0,93.0,8100.0
2000-07-11,93.25,94.0,93.25,93.75,28300.0
2000-07-12,93.0,93.5,92.5,93.375,32000.0
2000-07-13,93.125,93.125,90.25,91.125,25300.0
2000-07-14,90.5,90.9375,90.5,90.875,3100.0
2000-07-17,88.375,89.0,88.25,88.875,17500.0
2000-07-18,86.375,86.375,85.4375,85.5,43600.0
2000-07-19,84.5,84.625,83.8125,84.0,19700.0
2000-07-20,83.5,83.9375,82.875,83.4375,44400.0
2000-07-21,83.1875,83.1875,82.625,83.1875,8000.0
2000-07-24,82.9375,83.1875,82.75,82.8125,6100.0
2000-07-25,84.5,85.0,84.5,85.0,34000.0
2000-07-26,84.9375,85.0,84.4375,84.8125,11800.0
2000-07-27,84.0,84.0,83.0,83.25,16400.0
2000-07-28,83.5,83.625,82.8125,82.8125,7000.0
2000-07-31,84.0,84.625,83.5,84.625,24200.0
2000-08-01,85.625,85.8125,85.4375,85.6875,14600.0
2000-08-02,87.0,87.375,86.75,87.125,12700.0
2000-08-03,87.0,87.0,86.75,87.0,2900.0
