Date,open,high,low,close,volume
2000-01-03,7.71875,7.71875,7.5625,7.5625,29200
2000-01-04,7.6875,7.6875,7.59375,7.640625,555600
2000-01-05,7.65625,7.671875,7.5625,7.609375,222400
2000-01-06,7.625,7.65625,7.5,7.53125,97600
2000-01-07,7.53125,7.65625,7.53125,7.609375,86400
2000-01-10,7.625,7.796875,7.625,7.765625,92400
2000-01-11,7.734375,7.75,7.546875,7.546875,46800
2000-01-12,7.515625,7.59375,7.515625,7.59375,116800
2000-01-13,7.59375,7.75,7.59375,7.71875,69600
2000-01-14,7.640625,7.640625,7.53125,7.578125,149600
2000-01-18,7.59375,7.625,7.578125,7.609375,104000
2000-01-19,7.546875,7.625,7.546875,7.625,244800
2000-01-20,7.59375,7.609375,7.5625,7.59375,93600
2000-01-21,7.59375,7.640625,7.59375,7.625,144000
2000-01-24,7.609375,7.65625,7.59375,7.59375,114400
2000-01-25,7.578125,7.921875,7.578125,7.921875,307600
2000-01-26,7.921875,7.921875,7.890625,7.90625,5200
2000-01-27,7.890625,7.890625,7.71875,7.71875,37600
2000-01-28,7.703125,7.84375,7.703125,7.765625,294400
2000-01-31,7.765625,7.78125,7.65625,7.734375,181200
2000-02-01,7.75,7.796875,7.734375,7.796875,233600
2000-02-02,7.796875,7.796875,7.625,7.640625,20400
2000-02-03,7.65625,7.65625,7.5,7.5,63200
2000-02-04,7.46875,7.46875,7.453125,7.453125,14800
2000-02-07,7.453125,7.6875,7.453125,7.6875,97200
2000-02-08,7.71875,7.90625,7.71875,7.859375,118400
2000-02-09,7.859375,7.875,7.84375,7.84375,12400
2000-02-10,7.828125,7.96875,7.8125,7.921875,216000
2000-02-11,7.875,7.875,7.75,7.75,101600
2000-02-14,7.75,7.890625,7.6875,7.890625,350000
2000-02-15,5.75,7.28125,5.75,7.09375,1554000
2000-02-16,7.0625,7.0625,7.0,7.0,37200
2000-02-17,7.078125,7.28125,7.0625,7.28125,123200
2000-02-18,7.25,7.25,7.140625,7.140625,33200
2000-02-22,7.140625,7.140625,6.828125,6.953125,284000
