Date,open,high,low,close,volume
1999-12-31,39.9375,40.1875,39.75,39.8125,82200
2000-01-03,39.75,39.8125,37.8125,38.0,181500
2000-01-04,38.0,38.0,37.3125,37.5,250900
2000-01-05,37.5,37.9375,37.375,37.875,108100
2000-01-06,37.8125,38.75,37.8125,38.625,71000
2000-01-07,38.625,39.375,38.625,39.0625,108300
2000-01-10,39.0,39.75,38.875,39.6875,244100
2000-01-11,39.75,39.75,38.5,39.5,292800
2000-01-12,39.625,39.625,39.375,39.5,55600
2000-01-13,39.375,39.5,38.8125,38.875,60300
2000-01-14,38.9375,39.1875,37.5,37.5625,1043900
2000-01-18,37.5625,38.1875,37.375,38.1875,95100
2000-01-19,38.0625,38.8125,38.0625,38.5,96900
2000-01-20,38.3125,38.4375,37.8125,37.875,65300
2000-01-21,37.875,38.1875,37.5,38.1875,151600
2000-01-24,38.0625,38.125,37.6875,37.75,75900
2000-01-25,37.8125,38.0,37.1875,37.25,298000
2000-01-26,37.25,37.25,36.625,36.9375,182000
2000-01-27,37.0,37.875,37.0,37.75,226500
2000-01-28,37.8125,38.125,37.375,37.75,268000
2000-01-31,37.75,37.875,37.625,37.875,144800
2000-02-01,37.875,38.25,37.4375,37.9375,164800
2000-02-02,37.25,38.125,37.25,37.875,142900
2000-02-03,37.875,37.9375,37.6875,37.875,113900
2000-02-04,37.875,37.9375,36.5,36.6875,1786200
2000-02-07,36.6875,36.9375,36.5625,36.75,130000
2000-02-08,36.75,37.125,36.625,37.125,163200
2000-02-09,37.375,37.4375,37.125,37.375,63900
2000-02-10,37.25,37.375,37.0,37.1875,78000
2000-02-11,37.0,37.0,36.3125,36.75,181000
2000-02-14,37.25,37.5,36.75,37.0,180800
2000-02-15,36.875,37.25,36.5,37.25,217000
2000-02-16,37.0,38.0625,37.0,38.0,266300
2000-02-17,37.875,38.0625,37.75,38.0625,137200
2000-02-18,38.0,38.0625,37.375,37.5,93100
2000-02-22,37.4375,37.6875,37.125,37.1875,64500
2000-02-23,37.3125,37.5,37.0625,37.1875,53700
2000-02-24,36.9375,37.1875,36.9375,37.0,51600
2000-02-25,37.1875,37.1875,37.0,37.1875,47900
2000-02-28,37.0625,37.125,36.375,36.625,148000
2000-02-29,36.875,37.1875,36.5625,37.0,119500
2000-03-01,36.875,37.0625,36.75,36.875,113400
2000-03-02,37.0,37.125,36.8125,36.8125,62300
2000-03-03,36.875,37.5625,36.875,37.1875,244500
2000-03-06,37.25,37.5625,37.125,37.5625,78300
2000-03-07,37.6875,37.8125,37.1875,37.5,100200
2000-03-08,37.3125,37.5,37.125,37.4375,116600
2000-03-09,37.125,37.1875,37.0,37.0625,146100
2000-03-10,37.0625,37.125,36.4375,37.125,89900
2000-03-13,37.375,37.375,36.75,36.9375,36000
2000-03-14,36.875,37.5,36.8125,37.0,78000
2000-03-15,37.0,39.125,36.875,39.125,341800
2000-03-16,39.125,39.6875,39.125,39.4375,234000
2000-03-17,39.6875,39.9375,39.4375,39.8125,66500
2000-03-20,39.9375,39.9375,39.0,39.375,215100
2000-03-21,39.375,39.375,38.875,39.25,126800
2000-03-22,39.1875,39.1875,37.875,38.5,185800
2000-03-23,38.75,38.75,38.125,38.1875,357400
2000-03-24,38.375,38.375,37.875,38.0,124600
2000-03-27,38.25,38.375,38.0,38.1875,129000
2000-03-28,38.3125,38.375,38.1875,38.3125,116600
2000-03-29,38.0625,38.5625,38.0625,38.5,121900
2000-03-30,38.4375,39.125,38.0,38.0,374100
2000-03-31,37.875,38.1875,37.75,38.1875,112500
2000-04-03,38.125,38.125,37.75,38.0,275400
