Date,open,high,low,close,volume
1999-12-31,2.37890625,2.46484375,2.375,2.4609375,932800
2000-01-03,2.453125,2.50390625,2.43359375,2.48828125,3273600
2000-01-04,2.47265625,2.51953125,2.40234375,2.40625,2446400
2000-01-05,2.3984375,2.4765625,2.3984375,2.44921875,1164800
2000-01-06,2.45703125,2.53125,2.45703125,2.48828125,1073600
2000-01-07,2.49609375,2.5234375,2.3984375,2.41796875,2012800
2000-01-10,2.63671875,2.63671875,2.484375,2.49609375,7582400
2000-01-11,2.5,2.55859375,2.48828125,2.54296875,4955200
2000-01-12,2.54296875,2.546875,2.43359375,2.43359375,2713600
2000-01-13,2.4765625,2.609375,2.46875,2.48828125,4419200
2000-01-14,2.609375,2.65234375,2.58984375,2.62890625,3134400
2000-01-18,2.64453125,2.703125,2.62109375,2.6484375,2838400
2000-01-19,2.6640625,2.6640625,2.5859375,2.60546875,4094400
2000-01-20,2.62109375,2.64453125,2.59765625,2.62109375,3382400
2000-01-21,2.6640625,2.6796875,2.5625,2.5625,4289600
2000-01-24,2.578125,2.58203125,2.4375,2.4609375,2654400
2000-01-25,2.453125,2.4609375,2.34375,2.34375,3206400
2000-01-26,2.3125,2.40234375,2.3125,2.375,2884800
2000-01-27,2.37890625,2.38671875,2.32421875,2.33984375,3680000
2000-01-28,2.34375,2.34375,2.25,2.25,2459200
2000-01-31,2.25390625,2.30078125,2.20703125,2.2734375,2233600
2000-02-01,2.2578125,2.28515625,2.21875,2.24609375,1051200
2000-02-02,2.2578125,2.26171875,2.1875,2.20703125,1801600
2000-02-03,2.2578125,2.265625,2.19140625,2.21484375,1832000
2000-02-04,2.20703125,2.21484375,2.15625,2.171875,2139200
2000-02-07,2.18359375,2.1875,2.12109375,2.125,1766400
2000-02-08,2.1328125,2.14453125,2.05859375,2.05859375,1401600
2000-02-09,2.0625,2.109375,2.0234375,2.0703125,3310400
2000-02-10,2.0703125,2.0703125,2.01953125,2.03515625,1352000
2000-02-11,2.03515625,2.046875,1.98046875,2.01953125,1659200
2000-02-14,2.01953125,2.05078125,2.01171875,2.03515625,1404800
2000-02-15,2.01953125,2.0546875,2.00390625,2.00390625,2776000
2000-02-16,2.03125,2.03515625,1.94921875,1.97265625,2024000
2000-02-17,1.984375,2.00390625,1.97265625,1.984375,841600
2000-02-18,1.95703125,1.97265625,1.8125,1.8515625,2905600
2000-02-22,1.8984375,1.90234375,1.859375,1.890625,1360000
2000-02-23,1.87890625,1.921875,1.87109375,1.87109375,1884800
2000-02-24,1.87109375,1.87109375,1.7734375,1.79296875,1928000
2000-02-25,1.80859375,1.8125,1.7578125,1.765625,896000
2000-02-28,1.76953125,1.7734375,1.7265625,1.7578125,1097600
2000-02-29,1.7578125,1.765625,1.67578125,1.67578125,1876800
2000-03-01,1.703125,1.70703125,1.64453125,1.6796875,2932800
2000-03-02,1.68359375,1.68359375,1.625,1.65625,2374400
2000-03-03,1.65234375,1.78125,1.6484375,1.671875,2627200
2000-03-06,1.671875,1.7265625,1.671875,1.69140625,2220800
2000-03-07,1.703125,1.75,1.64453125,1.67578125,3065600
2000-03-08,1.69140625,1.8359375,1.69140625,1.765625,5073600
2000-03-09,1.796875,1.8359375,1.78125,1.8046875,2291200
2000-03-10,1.7890625,1.8125,1.76171875,1.77734375,1897600
2000-03-13,1.77734375,1.80859375,1.75,1.80078125,2163200
2000-03-14,1.8125,1.85546875,1.79296875,1.83203125,1921600
2000-03-15,1.84375,1.96484375,1.8359375,1.9375,3332800
2000-03-16,1.96484375,2.1171875,1.94921875,2.109375,4539200
2000-03-17,2.109375,2.109375,2.03125,2.03515625,2780800
2000-03-20,1.9765625,2.0859375,1.96875,1.97265625,3942400
2000-03-21,1.96875,2.01171875,1.92578125,1.99609375,3049600
2000-03-22,2.0078125,2.01171875,1.9375,1.9765625,3464000
2000-03-23,1.9609375,2.05078125,1.953125,2.0234375,2112000
2000-03-24,2.0234375,2.0234375,1.984375,2.0,2184000
2000-03-27,2.0,2.01953125,1.9921875,1.99609375,2280000
2000-03-28,1.99609375,2.0234375,1.99609375,1.99609375,2054400
2000-03-29,1.99609375,2.02734375,1.9609375,1.98046875,1656000
2000-03-30,1.9921875,2.05859375,1.9921875,2.0390625,1484800
2000-03-31,2.0234375,2.16796875,2.00390625,2.16015625,2969600
2000-04-03,2.1484375,2.23828125,2.1484375,2.2109375,4408000
2000-04-04,2.203125,2.203125,2.09375,2.16796875,2913600
2000-04-05,2.140625,2.234375,2.1328125,2.21875,3192000
2000-04-06,2.25,2.30859375,2.23828125,2.28125,6147200
2000-04-07,2.3203125,2.3203125,2.2421875,2.25,3243200
2000-04-10,2.234375,2.27734375,2.22265625,2.265625,1566400
2000-04-11,2.265625,2.2890625,2.265625,2.28125,1804800
2000-04-12,2.28125,2.3515625,2.2734375,2.29296875,2075200
2000-04-13,2.28125,2.31640625,2.28125,2.3125,1558400
2000-04-14,2.3046875,2.3046875,2.21875,2.23828125,3073600
2000-04-17,2.22265625,2.2265625,2.078125,2.140625,3963200
2000-04-18,2.12890625,2.12890625,2.04296875,2.06640625,2310400
2000-04-19,2.06640625,2.21875,2.0625,2.1015625,1948800
2000-04-20,2.11328125,2.125,2.0234375,2.05859375,2145600
2000-04-24,2.05859375,2.05859375,1.96875,2.015625,2158400
2000-04-25,2.125,2.125,2.0,2.06640625,2196800
2000-04-26,2.08203125,2.08203125,2.01171875,2.0390625,2196800
2000-04-27,2.0234375,2.0625,1.9609375,1.99609375,1870400
2000-04-28,2.015625,2.015625,1.953125,1.96875,1761600
2000-05-01,1.9296875,1.9765625,1.88671875,1.89453125,4057600
2000-05-02,1.890625,1.96875,1.87890625,1.9140625,3214400
2000-05-03,1.9296875,1.9765625,1.90625,1.91796875,2200000
2000-05-04,1.91015625,1.96484375,1.91015625,1.92578125,2078400
2000-05-05,1.92578125,1.984375,1.921875,1.97265625,1768000
2000-05-08,1.96484375,1.99609375,1.9453125,1.95703125,1196800
2000-05-09,1.95703125,2.0,1.95703125,1.9921875,940800
2000-05-10,1.9921875,2.0234375,1.9921875,2.00390625,1766400
2000-05-11,1.99609375,2.0859375,1.99609375,2.06640625,2136000
2000-05-12,2.078125,2.1171875,2.03515625,2.0859375,1988800
2000-05-15,2.09765625,2.1171875,2.08984375,2.11328125,1972800
2000-05-16,2.046875,2.12109375,2.0390625,2.12109375,2100800
2000-05-17,2.10546875,2.1484375,2.07421875,2.1171875,1276800
2000-05-18,2.1171875,2.1171875,2.02734375,2.046875,3785600
2000-05-19,2.03125,2.03125,1.9921875,1.99609375,1676800
2000-05-22,2.01171875,2.0390625,1.95703125,1.9765625,2156800
2000-05-23,1.9765625,1.9765625,1.86328125,1.87890625,2353600
2000-05-24,1.88671875,1.9140625,1.87890625,1.87890625,2408000
2000-05-25,1.8828125,1.90625,1.85546875,1.8828125,1185600
2000-05-26,1.875,1.890625,1.86328125,1.8828125,1548800
2000-05-30,1.87109375,1.88671875,1.828125,1.87109375,2209600
2000-05-31,1.87109375,1.87109375,1.8515625,1.85546875,1108800
2000-06-01,1.8515625,1.9140625,1.84765625,1.90234375,1782400
2000-06-02,1.91015625,1.94921875,1.91015625,1.92578125,2500800
2000-06-05,1.93359375,1.953125,1.89453125,1.9375,2468800
2000-06-06,1.9375,1.97265625,1.90625,1.953125,2024000
2000-06-07,1.953125,1.953125,1.90625,1.921875,1704000
2000-06-08,1.9140625,1.93359375,1.90234375,1.9140625,1153600
2000-06-09,1.921875,1.9765625,1.91796875,1.9296875,2312000
2000-06-12,1.93359375,1.96484375,1.9296875,1.9453125,2043200
2000-06-13,1.94140625,1.9609375,1.94140625,1.94921875,2227200
2000-06-14,1.94921875,2.0,1.94921875,1.98046875,1129600
2000-06-15,1.984375,1.984375,1.9453125,1.9609375,1156800
2000-06-16,1.9609375,1.99609375,1.95703125,1.978515625,1222400
2000-06-19,1.984375,1.984375,1.94140625,1.94140625,2067200
2000-06-20,1.94140625,1.96875,1.94140625,1.96484375,1145600
2000-06-21,1.95703125,1.96484375,1.9375,1.9453125,1278400
2000-06-22,1.9609375,1.98828125,1.9296875,1.98828125,2057600
2000-06-23,1.97265625,2.03515625,1.96875,2.00390625,1446400
2000-06-26,2.00390625,2.05859375,1.97265625,1.97265625,2307200
2000-06-27,1.9453125,1.96875,1.90234375,1.953125,5222400
2000-06-28,1.96875,2.0703125,1.9375,2.037109375,3072000
2000-06-29,2.0234375,2.26171875,2.0234375,2.20703125,5472000
2000-06-30,2.20703125,2.20703125,1.95703125,2.0107421875,11512000
2000-07-03,2.02734375,2.0625,2.0078125,2.0625,1600000
2000-07-05,2.078125,2.09375,2.03515625,2.04296875,1451200
2000-07-06,2.04296875,2.046875,1.984375,2.0234375,5243200
2000-07-07,2.02734375,2.02734375,1.99609375,2.00390625,2676800
2000-07-10,1.99609375,2.09375,1.9921875,2.07421875,1113600
2000-07-11,2.1640625,2.1640625,2.1171875,2.13671875,2852800
2000-07-12,2.12890625,2.12890625,2.08984375,2.11328125,2254400
2000-07-13,2.09375,2.1953125,2.09375,2.1796875,1505600
2000-07-14,2.171875,2.2109375,2.171875,2.19140625,1228800
2000-07-17,2.1953125,2.1953125,2.1484375,2.17578125,1278400
2000-07-18,2.16796875,2.2109375,2.16015625,2.1640625,1355200
2000-07-19,2.1640625,2.2265625,2.16015625,2.21484375,2793600
2000-07-20,2.22265625,2.25390625,2.21484375,2.23828125,2094400
2000-07-21,2.23046875,2.234375,2.203125,2.20703125,1326400
2000-07-24,2.2109375,2.2109375,2.171875,2.19921875,1472000
2000-07-25,2.20703125,2.24609375,2.20703125,2.21875,3564800
2000-07-26,2.1640625,2.23046875,2.1640625,2.19921875,2945600
2000-07-27,2.203125,2.2421875,2.18359375,2.2265625,1323200
2000-07-28,2.2265625,2.2265625,2.14453125,2.1640625,1244800
2000-07-31,2.171875,2.2734375,2.1484375,2.16796875,1724800
2000-08-01,2.15625,2.203125,2.09375,2.1328125,2939200
2000-08-02,2.13671875,2.1953125,2.13671875,2.1484375,1603200
2000-08-03,2.1015625,2.1328125,2.1015625,2.11328125,2620800
2000-08-04,2.12109375,2.1484375,2.11328125,2.14453125,1321600
2000-08-07,2.140625,2.140625,2.1171875,2.12109375,2198400
2000-08-08,2.09375,2.1640625,2.09375,2.15625,937600
2000-08-09,2.15625,2.15625,2.11328125,2.11328125,1441600
2000-08-10,2.11328125,2.140625,2.10546875,2.11328125,928000
2000-08-11,2.08984375,2.1640625,2.08984375,2.13671875,1411200
2000-08-14,2.13671875,2.16796875,2.12890625,2.16015625,3131200
2000-08-15,2.16015625,2.1953125,2.1484375,2.1484375,1513600
2000-08-16,2.1484375,2.15234375,2.125,2.14453125,998400
2000-08-17,2.15234375,2.15234375,2.1015625,2.1328125,1689600
2000-08-18,2.1171875,2.125,2.09375,2.09765625,1350400
2000-08-21,2.0859375,2.12109375,2.08203125,2.08203125,1051200
2000-08-22,2.078125,2.08203125,2.046875,2.0546875,2846400
2000-08-23,2.05859375,2.0625,2.02734375,2.05078125,1454400
2000-08-24,2.05859375,2.10546875,2.05859375,2.0859375,1144000
2000-08-25,2.078125,2.09765625,2.06640625,2.09375,902400
2000-08-28,2.0859375,2.1171875,2.08203125,2.08984375,857600
2000-08-29,2.08203125,2.18359375,2.07421875,2.1640625,5049600
2000-08-30,2.14453125,2.1484375,2.1328125,2.14453125,1307200
2000-08-31,2.15234375,2.1796875,2.14453125,2.1640625,1174400
2000-09-01,2.1796875,2.1953125,2.16796875,2.1875,1145600
2000-09-05,2.1875,2.21875,2.18359375,2.21484375,1083200
2000-09-06,2.23046875,2.2421875,2.1953125,2.234375,3040000
2000-09-07,2.234375,2.24609375,2.203125,2.21875,1683200
2000-09-08,2.20703125,2.234375,2.19140625,2.19921875,1108800
2000-09-11,2.19921875,2.236328125,2.1796875,2.20703125,2028800
2000-09-12,2.20703125,2.20703125,2.1875,2.1953125,2710400
2000-09-13,2.19921875,2.19921875,2.1796875,2.1796875,7427200
2000-09-14,2.15625,2.15625,2.07421875,2.12109375,6297600
2000-09-15,2.09375,2.16015625,2.08984375,2.125,4395200
2000-09-18,2.125,2.16796875,2.09765625,2.1015625,1593600
2000-09-19,2.078125,2.08203125,2.03515625,2.046875,3654400
2000-09-20,2.05859375,2.0625,2.046875,2.046875,1168000
2000-09-21,2.03515625,2.0390625,1.9921875,1.99609375,2494400
2000-09-22,1.99609375,2.03125,1.9921875,2.03125,2259200
2000-09-25,2.03125,2.05859375,2.0078125,2.0234375,2134400
2000-09-26,2.0234375,2.046875,1.99609375,2.0,1804800
2000-09-27,2.0,2.0,1.98828125,2.0,2539200
2000-09-28,1.984375,1.99609375,1.96484375,1.9921875,3966400
2000-09-29,1.99609375,2.0234375,1.9453125,1.98046875,5204800
2000-10-02,1.97265625,1.9765625,1.92578125,1.93359375,1420800
2000-10-03,1.94921875,1.98828125,1.9375,1.953125,4505600
2000-10-04,1.953125,2.03125,1.9296875,1.94140625,3171200
2000-10-05,1.9453125,1.9453125,1.87890625,1.8984375,2816000
2000-10-06,1.9140625,1.96484375,1.88671875,1.90625,1620800
2000-10-09,1.90625,1.96484375,1.90625,1.953125,1486400
2000-10-10,1.9375,1.9375,1.90625,1.90625,1299200
2000-10-11,1.90625,1.90625,1.8671875,1.87109375,1833600
2000-10-12,1.86328125,1.890625,1.84765625,1.875,1614400
2000-10-13,1.8828125,1.9296875,1.8828125,1.9296875,1947200
2000-10-16,1.9296875,1.9296875,1.86328125,1.8984375,1132800
2000-10-17,1.89453125,1.90234375,1.83984375,1.86328125,1222400
2000-10-18,1.86328125,1.86328125,1.78515625,1.82421875,1625600
2000-10-19,1.8203125,1.91015625,1.8125,1.88671875,1664000
2000-10-20,1.87890625,1.9140625,1.87890625,1.90625,1414400
2000-10-23,1.90625,1.921875,1.87109375,1.88671875,1720000
2000-10-24,1.921875,2.09375,1.921875,2.07421875,5707200
2000-10-25,2.05859375,2.0625,1.96484375,2.04296875,3288000
2000-10-26,2.04296875,2.15625,2.04296875,2.1328125,2728000
2000-10-27,2.12890625,2.13671875,2.08203125,2.1171875,1134400
2000-10-30,2.12109375,2.1875,2.12109375,2.1875,3108800
2000-10-31,2.18359375,2.203125,2.14453125,2.1953125,3686400
2000-11-01,2.1953125,2.203125,2.15625,2.17578125,1040000
2000-11-02,2.18359375,2.18359375,2.15625,2.17578125,1124800
2000-11-03,2.1796875,2.1875,2.14453125,2.18359375,955200
2000-11-06,2.1875,2.21484375,2.16796875,2.21484375,1712000
2000-11-07,2.21484375,2.24609375,2.2109375,2.24609375,724800
2000-11-08,2.24609375,2.3203125,2.21875,2.3046875,1592000
2000-11-09,2.2890625,2.30078125,2.23828125,2.25390625,1897600
2000-11-10,2.25390625,2.25390625,2.171875,2.2265625,1320000
2000-11-13,2.21875,2.29296875,2.1875,2.25390625,936000
2000-11-14,2.265625,2.29296875,2.26171875,2.2890625,1833600
2000-11-15,2.2890625,2.33203125,2.28125,2.33203125,2006400
2000-11-16,2.34375,2.37109375,2.28515625,2.3125,1939200
2000-11-17,2.328125,2.35546875,2.30859375,2.3203125,1476800
2000-11-20,2.33203125,2.3671875,2.29296875,2.3515625,1144000
2000-11-21,2.35546875,2.35546875,2.32421875,2.34375,790400
2000-11-22,2.34375,2.3671875,2.3203125,2.359375,1067200
2000-11-24,2.359375,2.3984375,2.3515625,2.39453125,921600
2000-11-27,2.39453125,2.4296875,2.390625,2.4140625,2070400
2000-11-28,2.40625,2.421875,2.38671875,2.39453125,974400
2000-11-29,2.37890625,2.37890625,2.30859375,2.3203125,1281600
2000-11-30,2.32421875,2.44921875,2.32421875,2.43359375,1324800
2000-12-01,2.42578125,2.48046875,2.42578125,2.4375,2656000
2000-12-04,2.4375,2.49609375,2.4375,2.484375,1846400
2000-12-05,2.5,2.52734375,2.48046875,2.5,2251200
2000-12-06,2.5,2.515625,2.4296875,2.43359375,1944000
2000-12-07,2.4609375,2.46875,2.3984375,2.40234375,825600
2000-12-08,2.38671875,2.48828125,2.38671875,2.45703125,2665600
2000-12-11,2.484375,2.49609375,2.375,2.45703125,3033600
2000-12-12,2.47265625,2.47265625,2.390625,2.44140625,921600
2000-12-13,2.4453125,2.45703125,2.390625,2.4296875,894400
2000-12-14,2.4140625,2.41796875,2.35546875,2.38671875,1728000
2000-12-15,2.40234375,2.49609375,2.390625,2.45703125,5230400
2000-12-18,2.453125,2.48046875,2.44140625,2.45703125,2864000
2000-12-19,2.4609375,2.5859375,2.45703125,2.55078125,5529600
2000-12-20,2.53125,2.578125,2.50390625,2.546875,1992000
2000-12-21,2.55078125,2.63671875,2.5234375,2.6328125,2169600
2000-12-22,2.64453125,2.6875,2.6015625,2.6796875,2028800
2000-12-26,2.70703125,2.8984375,2.671875,2.85546875,3444800
2000-12-27,2.859375,2.921875,2.8515625,2.91015625,3377600
2000-12-28,2.92578125,2.9609375,2.91015625,2.953125,3753600
2000-12-29,2.9375,2.99609375,2.87890625,2.87890625,3985600
2001-01-02,2.86328125,2.875,2.76953125,2.77734375,4024000
2001-01-03,2.76171875,2.95703125,2.76171875,2.9453125,4220800
2001-01-04,2.94140625,2.94921875,2.91015625,2.93359375,2980800
2001-01-05,2.859375,2.90625,2.8359375,2.89453125,5014400
2001-01-08,2.90625,2.96484375,2.84765625,2.8828125,3168000
2001-01-09,2.875,2.91015625,2.85546875,2.91015625,3806400
2001-01-10,2.92578125,3.0078125,2.91015625,3.0,6652800
2001-01-11,3.0,3.05078125,2.9609375,2.97265625,7433600
2001-01-12,2.98828125,2.98828125,2.89453125,2.9140625,2252800
2001-01-16,2.9140625,2.9140625,2.81640625,2.8515625,5030400
2001-01-17,2.8515625,2.86328125,2.796875,2.81640625,3726400
2001-01-18,2.83203125,2.8515625,2.8046875,2.8125,2704000
2001-01-19,2.8125,2.8125,2.6796875,2.6953125,2633600
