Date,open,high,low,close,volume
1999-12-31,59.0,59.625,58.75,59.3125,517500
2000-01-03,59.25,59.3125,58.5,58.8125,2039300
2000-01-04,58.4375,59.4375,58.25,58.5,3825800
2000-01-05,57.9375,60.5,57.75,60.5,4055900
2000-01-06,59.6875,60.625,59.3125,60.625,4034700
2000-01-07,58.5,59.5,58.5,59.5,4027200
2000-01-10,57.25,57.75,56.875,57.75,2999700
2000-01-11,57.0,57.75,55.875,57.75,3838800
2000-01-12,57.0,57.125,56.0625,56.5625,2714700
2000-01-13,56.0,57.875,55.625,57.375,3973000
2000-01-14,55.5625,55.9375,54.8125,55.3125,4740000
2000-01-18,54.8125,55.75,54.75,55.75,2319500
2000-01-19,56.0,56.375,55.5625,56.0,3252700
2000-01-20,54.75,55.125,54.0,54.6875,5284700
2000-01-21,55.5625,56.625,55.5625,56.25,3514000
2000-01-24,58.25,58.375,55.625,56.0,2101000
2000-01-25,56.0,56.25,54.625,54.875,2170500
2000-01-26,53.75,55.1875,53.75,54.8125,2160900
2000-01-27,55.75,55.75,53.8125,54.125,1713200
2000-01-28,54.0,54.6875,53.6875,53.9375,2663000
2000-01-31,53.625,54.0,52.75,53.75,2265200
2000-02-01,52.75,54.5625,52.6875,54.5,2342300
2000-02-02,55.0,55.125,53.25,53.9375,2284100
2000-02-03,51.0,52.375,50.03125,52.1875,9773800
2000-02-04,49.8125,50.3125,48.5625,49.25,5663700
2000-02-07,48.5,48.875,48.0625,48.5,2954700
2000-02-08,49.125,49.3125,47.4375,48.125,3632000
2000-02-09,47.375,47.375,45.625,45.875,5604200
2000-02-10,45.125,48.625,45.125,48.125,7042500
2000-02-11,46.25,47.5625,46.25,46.625,6044400
2000-02-14,46.1875,47.5,45.6875,47.4375,2997200
2000-02-15,46.25,47.625,46.0,47.375,5561700
2000-02-16,47.6875,50.0,47.625,49.25,4224900
2000-02-17,50.875,51.125,48.5625,48.875,2896800
2000-02-18,48.25,48.375,46.4375,46.875,2183200
2000-02-22,45.0,45.625,44.125,45.375,3774100
2000-02-23,44.75,45.125,44.0625,45.0,2418800
2000-02-24,44.125,44.25,43.125,43.625,3329400
2000-02-25,43.875,44.875,43.875,44.375,3337900
2000-02-28,43.875,46.0,43.3125,45.8125,3456900
2000-02-29,47.125,47.625,46.6875,47.0625,4439200
2000-03-01,47.875,48.5,46.75,47.625,3588000
2000-03-02,47.0625,48.6875,46.875,47.9375,3048000
2000-03-03,48.0,48.1875,47.3125,47.5,2208500
2000-03-06,47.25,48.0,46.75,47.1875,1665800
2000-03-07,47.9375,51.0,47.375,50.6875,4960000
2000-03-08,51.75,54.75,51.75,53.0,8393600
2000-03-09,52.3125,53.0,51.5,52.875,3784400
2000-03-10,52.6875,53.4375,51.875,53.375,5126400
2000-03-13,51.875,52.8125,51.3125,51.5625,1790200
2000-03-14,51.9375,52.0,50.8125,51.125,2350200
2000-03-15,53.125,53.4375,51.625,52.75,8784600
2000-03-16,54.375,54.375,52.875,53.75,7059900
2000-03-17,52.4375,52.875,51.125,51.375,3342900
2000-03-20,51.5625,51.625,50.0,50.3125,3207300
2000-03-21,51.9375,51.9375,51.0625,51.75,4428500
2000-03-22,51.375,52.0,50.9375,51.4375,2735600
2000-03-23,51.375,51.5625,50.25,51.5,2627100
2000-03-24,51.125,51.875,50.1875,50.625,4824200
2000-03-27,49.0,49.6875,48.1875,49.0,3108400
2000-03-28,48.9375,49.4375,48.0,48.375,2385200
2000-03-29,48.375,50.5,48.3125,50.3125,3409100
2000-03-30,51.5625,52.25,51.125,51.9375,4023900
2000-03-31,55.125,55.125,52.875,53.25,6166000
2000-04-03,52.875,53.3125,52.25,52.625,2276100
2000-04-04,53.25,53.25,51.6875,52.6875,5295800
2000-04-05,51.875,52.5,51.5,51.5,2706100
2000-04-06,51.25,52.4375,50.9375,51.9375,4344800
2000-04-07,51.8125,51.875,50.75,51.1875,2415100
2000-04-10,51.25,51.625,50.875,51.125,3448400
2000-04-11,52.25,52.75,51.6875,52.1875,6491500
2000-04-12,51.75,52.5,50.875,52.125,3862500
2000-04-13,51.6875,51.875,51.0,51.5,7321400
2000-04-14,50.75,50.8125,49.0,49.625,5197200
2000-04-17,50.0,50.125,46.984375,47.5,11017500
2000-04-18,47.6875,48.4375,47.4375,48.125,7765400
2000-04-19,49.25,49.375,48.5,48.8125,6705600
2000-04-20,49.75,50.5,49.6875,49.75,6827300
2000-04-24,49.125,49.75,49.0625,49.75,4561000
2000-04-25,52.375,52.625,52.125,52.25,9940200
2000-04-26,53.0,53.3125,51.875,52.0,5178300
2000-04-27,52.625,53.5625,52.25,53.0,6881800
2000-04-28,52.6875,52.75,50.9375,51.0,3675700
2000-05-01,51.0,51.3125,50.125,51.25,3832600
2000-05-02,51.0,51.6875,50.875,51.4375,6506300
2000-05-03,52.1875,52.9375,51.125,51.75,4314600
2000-05-04,51.625,52.5,51.375,52.25,4369200
2000-05-05,53.6875,54.3125,53.5625,54.3125,6641600
2000-05-08,54.625,55.125,54.3125,55.125,3724500
2000-05-09,54.0,54.375,52.625,53.1875,3562200
2000-05-10,53.1875,54.0,52.6875,52.8125,5182300
2000-05-11,54.625,55.3125,54.3125,54.6875,7624100
2000-05-12,53.125,54.625,53.125,54.15625,3098400
2000-05-15,54.4375,55.125,54.25,55.0,4910500
2000-05-16,54.875,54.9375,53.5,53.875,3575900
2000-05-17,53.125,53.4375,52.6875,53.375,2752400
2000-05-18,54.3125,54.6875,54.1875,54.3125,3030400
2000-05-19,54.75,54.875,54.0,54.6875,4576500
2000-05-22,54.5,54.9375,54.125,54.3125,3970600
2000-05-23,53.5625,54.125,53.5625,54.0,1743900
2000-05-24,53.125,53.3125,52.3125,53.25,3189100
2000-05-25,52.5,52.9375,52.25,52.75,2368100
