Date,open,high,low,close,volume
1999-12-31,5.375,5.875,5.125,5.125,457000
2000-01-03,5.25,5.5625,5.21875,5.5,281600
2000-01-04,5.4375,5.65625,5.4375,5.53125,255400
2000-01-05,5.46875,6.0,5.40625,5.8125,298000
2000-01-06,5.75,5.75,5.53125,5.5625,331200
2000-01-07,5.5,5.625,5.4375,5.46875,168000
2000-01-10,5.5,5.8125,5.4375,5.53125,358000
2000-01-11,5.34375,5.375,5.1875,5.1875,354200
2000-01-12,5.21875,5.34375,5.1875,5.3125,218400
2000-01-13,5.53125,5.59375,5.375,5.4375,667800
2000-01-14,5.40625,5.75,5.40625,5.625,416800
2000-01-18,5.5,5.5625,5.3125,5.5,333000
2000-01-19,5.40625,5.40625,5.15625,5.28125,491200
2000-01-20,5.28125,5.28125,5.15625,5.21875,197200
2000-01-21,5.15625,5.34375,5.03125,5.3125,320000
2000-01-24,5.0625,5.0625,4.90625,4.9375,239200
2000-01-25,4.90625,4.9375,4.78125,4.84375,536200
2000-01-26,4.71875,4.9375,4.625,4.90625,371000
2000-01-27,4.71875,4.71875,4.625,4.65625,358400
2000-01-28,4.53125,4.875,4.34375,4.6875,806000
2000-01-31,4.5625,4.59375,4.5,4.59375,319200
2000-02-01,4.4375,4.53125,4.375,4.5,397000
2000-02-02,4.46875,4.5,4.28125,4.46875,528000
2000-02-03,4.5625,5.0625,4.5625,4.8125,953000
2000-02-04,4.5625,4.71875,4.46875,4.65625,303200
2000-02-07,4.53125,4.65625,4.53125,4.625,365400
2000-02-08,4.0625,4.34375,3.9375,4.25,421800
2000-02-09,4.65625,4.75,4.5,4.625,431200
2000-02-10,4.6875,4.90625,4.65625,4.71875,182200
2000-02-11,4.46875,4.84375,4.4375,4.65625,293800
2000-02-14,4.625,4.90625,4.53125,4.71875,258600
2000-02-15,4.5625,4.625,4.53125,4.53125,1139400
2000-02-16,4.5,4.6875,4.4375,4.65625,372400
2000-02-17,5.03125,5.125,4.84375,5.0,300600
2000-02-18,4.875,4.9375,4.6875,4.84375,413400
2000-02-22,4.34375,4.375,4.125,4.28125,661800
2000-02-23,4.25,4.3125,4.1875,4.3125,304400
2000-02-24,4.28125,4.3125,4.1875,4.28125,1227800
2000-02-25,4.28125,4.375,4.21875,4.25,662000
2000-02-28,4.4375,4.4375,4.28125,4.3125,606400
2000-02-29,4.1875,4.34375,4.1875,4.25,221400
2000-03-01,4.25,4.53125,4.25,4.4375,680600
2000-03-02,4.21875,4.46875,4.1875,4.21875,431400
2000-03-03,4.21875,4.875,4.21875,4.5625,447400
2000-03-06,4.4375,4.84375,4.4375,4.625,516400
2000-03-07,4.625,4.625,4.1875,4.28125,893000
2000-03-08,4.21875,4.28125,4.0,4.125,430800
2000-03-09,4.15625,4.15625,4.0,4.09375,552000
2000-03-10,4.09375,4.1875,4.0,4.125,696800
2000-03-13,3.875,4.15625,3.875,4.03125,1350000
2000-03-14,4.28125,4.4375,4.25,4.375,1793400
2000-03-15,4.625,4.8125,4.5,4.75,378200
2000-03-16,4.8125,5.15625,4.8125,5.125,373800
2000-03-17,5.125,5.3125,5.0,5.0,324000
2000-03-20,5.125,5.21875,5.03125,5.125,285200
2000-03-21,4.625,5.25,4.53125,4.78125,634600
2000-03-22,4.71875,4.71875,4.4375,4.625,404800
2000-03-23,4.625,5.0,4.625,4.875,448600
2000-03-24,4.9375,5.0,4.78125,4.96875,416200
2000-03-27,4.9375,5.0,4.75,4.9375,230200
2000-03-28,4.78125,4.875,4.65625,4.78125,292000
2000-03-29,4.71875,5.125,4.65625,5.0625,316800
2000-03-30,4.9375,5.375,4.9375,5.1875,322200
2000-03-31,5.625,5.625,5.3125,5.3125,424000
2000-04-03,5.1875,5.46875,5.125,5.28125,317400
2000-04-04,5.46875,5.6875,5.375,5.4375,201400
2000-04-05,5.40625,5.53125,5.25,5.34375,237000
2000-04-06,5.21875,5.5,5.21875,5.3125,131200
2000-04-07,5.4375,5.5,5.09375,5.09375,273800
2000-04-10,4.9375,5.0625,4.78125,5.0,196000
2000-04-11,5.0625,5.3125,5.0625,5.3125,158000
2000-04-12,5.1875,5.375,5.1875,5.3125,394800
2000-04-13,4.9375,5.3125,4.9375,5.25,497800
2000-04-14,5.125,5.15625,4.9375,5.125,483400
2000-04-17,5.5625,5.5625,5.125,5.40625,150000
2000-04-18,5.28125,5.46875,5.21875,5.34375,231200
2000-04-19,5.15625,5.28125,5.0,5.0,312800
2000-04-20,5.0,5.6875,5.0,5.625,254000
2000-04-24,5.65625,6.0,5.53125,5.625,108000
2000-04-25,5.5,5.5,5.28125,5.46875,429400
2000-04-26,5.40625,5.53125,5.28125,5.5,251400
2000-04-27,5.59375,5.8125,5.53125,5.5625,170000
2000-04-28,5.65625,6.3125,5.65625,6.15625,225600
