Date,open,high,low,close,volume
1999-12-31,5.0625,5.1015625,5.046875,5.0625,255200
2000-01-03,5.078125,5.078125,4.8203125,4.8359375,675200
2000-01-04,4.8671875,4.921875,4.828125,4.8359375,613600
2000-01-05,4.859375,4.9375,4.84375,4.859375,428000
2000-01-06,4.859375,4.8671875,4.78125,4.796875,706400
2000-01-07,4.8046875,4.9375,4.8046875,4.9296875,3228800
2000-01-10,4.9375,4.96875,4.8515625,4.875,889600
2000-01-11,4.875,4.9375,4.859375,4.859375,2004000
2000-01-12,4.8671875,4.90625,4.84375,4.8515625,694400
2000-01-13,4.8828125,4.8984375,4.8671875,4.8828125,602400
2000-01-14,4.890625,4.90625,4.84375,4.84375,864800
2000-01-18,4.859375,4.859375,4.7265625,4.7578125,904800
2000-01-19,4.75,4.7734375,4.65625,4.703125,843200
2000-01-20,4.7265625,4.7421875,4.671875,4.6796875,1096000
2000-01-21,4.6875,4.734375,4.671875,4.671875,1508000
2000-01-24,4.734375,4.734375,4.5625,4.5703125,1733600
2000-01-25,4.578125,4.578125,4.3984375,4.4609375,1386400
2000-01-26,4.4453125,4.5,4.40625,4.4375,764000
2000-01-27,4.4375,4.46875,4.3125,4.34375,1005600
2000-01-28,4.3203125,4.3203125,4.1953125,4.2265625,1021600
2000-01-31,4.25,4.328125,4.1640625,4.203125,1460000
2000-02-01,4.234375,4.234375,3.90625,4.0546875,3586400
2000-02-02,4.09375,4.140625,4.03125,4.0625,2112000
2000-02-03,4.125,4.25,4.109375,4.1875,1642400
2000-02-04,4.21875,4.28125,4.125,4.140625,574400
2000-02-07,4.125,4.140625,4.0703125,4.0859375,672800
2000-02-08,4.109375,4.1875,4.0625,4.125,1793600
2000-02-09,4.125,4.1875,4.125,4.1640625,1509600
2000-02-10,4.1328125,4.2578125,4.1328125,4.203125,2168800
2000-02-11,4.234375,4.2578125,4.1640625,4.1640625,1455200
2000-02-14,4.15625,4.25,4.1328125,4.2109375,1676000
2000-02-15,4.2265625,4.265625,4.1640625,4.25,1344800
2000-02-16,4.234375,4.2421875,4.1171875,4.1171875,1183200
2000-02-17,4.140625,4.140625,4.015625,4.0234375,1260000
2000-02-18,4.0546875,4.0546875,3.9296875,3.9296875,1137600
2000-02-22,3.9375,3.9375,3.8828125,3.9375,1024000
2000-02-23,3.9296875,3.9296875,3.84375,3.875,901600
2000-02-24,3.84375,3.85546875,3.71875,3.7578125,931200
2000-02-25,3.7890625,3.875,3.71875,3.875,1556000
2000-02-28,3.8671875,3.8984375,3.765625,3.8828125,770400
2000-02-29,3.875,4.0,3.8203125,4.0,1099200
2000-03-01,3.984375,4.0859375,3.9375,4.0625,864800
2000-03-02,4.03125,4.1484375,4.03125,4.125,984000
2000-03-03,4.15625,4.15625,4.0625,4.078125,835200
2000-03-06,4.109375,4.1875,4.0625,4.0859375,757600
2000-03-07,4.0859375,4.1015625,3.984375,3.9921875,1052800
2000-03-08,4.0,4.0234375,3.90625,3.9140625,1135200
2000-03-09,3.9140625,3.9140625,3.8515625,3.875,1499200
2000-03-10,3.875,4.046875,3.875,3.96875,895200
2000-03-13,3.875,4.140625,3.875,4.0546875,1528800
2000-03-14,4.0625,4.2109375,4.03125,4.0703125,1523200
2000-03-15,4.0703125,4.21875,4.0625,4.15625,2005600
2000-03-16,4.203125,4.3984375,4.203125,4.34375,1399200
2000-03-17,4.3203125,4.578125,4.3203125,4.5625,1548800
2000-03-20,4.46875,4.65625,4.46875,4.5234375,2226400
2000-03-21,4.53125,4.625,4.53125,4.59375,712800
2000-03-22,4.59375,4.6171875,4.5625,4.5703125,932800
2000-03-23,4.5703125,4.65625,4.5703125,4.65625,1037600
2000-03-24,4.6875,4.7109375,4.5,4.609375,1801600
2000-03-27,4.609375,4.609375,4.5078125,4.5234375,840000
2000-03-28,4.5390625,4.5546875,4.5,4.5078125,704800
2000-03-29,4.5078125,4.5078125,4.3828125,4.390625,2152000
2000-03-30,4.390625,4.546875,4.390625,4.5390625,1391200
2000-03-31,4.578125,4.921875,4.5625,4.921875,2086400
2000-04-03,4.921875,4.921875,4.703125,4.7421875,845600
2000-04-04,4.78125,4.8671875,4.625,4.65625,1016000
2000-04-05,4.625,4.8515625,4.625,4.828125,632800
2000-04-06,4.8515625,4.953125,4.8515625,4.90625,979200
2000-04-07,4.921875,4.9296875,4.8828125,4.9140625,763200
2000-04-10,4.9375,5.0625,4.9375,4.953125,1104000
2000-04-11,4.953125,5.0,4.859375,5.0,883200
2000-04-12,5.015625,5.234375,4.984375,5.203125,2040800
2000-04-13,5.171875,5.171875,5.0390625,5.109375,1344000
2000-04-14,5.125,5.125,4.84375,4.8671875,872000
2000-04-17,4.875,4.96875,4.734375,4.734375,1449600
2000-04-18,4.75,4.921875,4.75,4.8984375,1019200
2000-04-19,4.96875,5.1171875,4.90625,4.984375,929600
2000-04-20,4.984375,5.0078125,4.8828125,4.9453125,785600
2000-04-24,4.953125,4.953125,4.8984375,4.9140625,692000
2000-04-25,4.96875,5.25,4.96875,5.21875,1490400
2000-04-26,5.25,5.2734375,5.1796875,5.21875,644000
2000-04-27,5.1796875,5.1796875,5.0703125,5.1171875,608000
2000-04-28,5.140625,5.296875,5.1328125,5.2265625,1054400
2000-05-01,5.234375,5.328125,5.203125,5.265625,982400
2000-05-02,5.2734375,5.3046875,5.25,5.2578125,829600
2000-05-03,5.25,5.25,5.0,5.0,617600
2000-05-04,5.03125,5.25,5.0,5.1171875,811200
2000-05-05,5.15625,5.359375,5.140625,5.234375,584000
2000-05-08,5.21875,5.21875,5.109375,5.1328125,668000
2000-05-09,5.125,5.3203125,5.109375,5.296875,1116000
2000-05-10,5.296875,5.3671875,5.296875,5.328125,850400
2000-05-11,5.375,5.4921875,5.375,5.4921875,1215200
2000-05-12,5.4921875,5.625,5.3984375,5.4140625,1080000
2000-05-15,5.4296875,5.4296875,5.34375,5.375,679200
2000-05-16,5.421875,5.53125,5.421875,5.515625,552000
2000-05-17,5.484375,5.5234375,5.375,5.4609375,1259200
2000-05-18,5.4609375,5.46875,5.421875,5.421875,904000
2000-05-19,5.421875,5.4453125,5.359375,5.375,523200
2000-05-22,5.359375,5.390625,5.140625,5.21875,1117600
2000-05-23,5.1875,5.2109375,5.1640625,5.1640625,1180000
2000-05-24,5.1796875,5.234375,5.1640625,5.1875,2043200
2000-05-25,5.203125,5.20703125,5.0859375,5.1484375,1220800
2000-05-26,5.125,5.125,4.96875,4.9765625,1303200
2000-05-30,4.9765625,5.09375,4.9375,5.09375,1785600
2000-05-31,5.078125,5.0859375,4.96875,4.96875,1246400
2000-06-01,4.984375,5.078125,4.984375,5.078125,417600
2000-06-02,5.09375,5.140625,5.0625,5.0703125,691200
2000-06-05,5.0546875,5.171875,5.0546875,5.125,1257600
2000-06-06,5.1328125,5.1328125,5.0,5.0078125,648800
2000-06-07,5.0234375,5.0703125,5.0,5.0234375,510400
2000-06-08,5.03125,5.03125,4.890625,4.8984375,968000
2000-06-09,4.90625,4.90625,4.734375,4.734375,851200
2000-06-12,4.75,4.84375,4.59375,4.828125,1906400
2000-06-13,4.796875,4.84375,4.78125,4.8125,1145600
2000-06-14,4.78125,4.78125,4.734375,4.734375,540000
