Date,open,high,low,close,volume
1999-12-31,19.8125,19.8125,19.625,19.625,831600
2000-01-03,19.5,19.5,19.03125,19.0625,2073400
2000-01-04,19.0625,19.5625,18.875,19.53125,3330800
2000-01-05,19.75,20.34375,19.75,20.0625,6406600
2000-01-06,20.3125,20.5625,20.15625,20.28125,4833600
2000-01-07,20.25,20.46875,20.1875,20.28125,3335200
2000-01-10,20.5,20.5,20.25,20.28125,2612400
2000-01-11,20.25,20.46875,20.1875,20.34375,2376600
2000-01-12,20.34375,20.8125,20.34375,20.5,3530000
2000-01-13,20.5,20.8125,20.5,20.78125,4820000
2000-01-14,20.84375,20.875,20.6875,20.8125,3940800
2000-01-18,20.8125,20.875,20.625,20.78125,2310800
2000-01-19,20.96875,21.25,20.875,21.125,3779800
2000-01-20,21.125,21.25,21.0625,21.21875,3099800
2000-01-21,21.21875,21.3125,21.125,21.15625,4584200
2000-01-24,21.28125,21.5625,21.15625,21.21875,790000
2000-01-25,21.21875,21.3125,20.875,21.0,1290000
2000-01-26,21.3125,21.34375,21.125,21.34375,1105600
2000-01-27,21.34375,21.34375,21.25,21.28125,903000
2000-01-28,20.375,20.75,20.125,20.3125,5532800
2000-01-31,20.4375,20.875,20.34375,20.875,3462000
2000-02-01,20.875,20.875,20.40625,20.53125,2273200
2000-02-02,20.5625,20.75,20.4375,20.6875,1335600
2000-02-03,21.125,21.21875,20.9375,20.96875,6594800
2000-02-04,21.03125,21.125,20.59375,20.59375,3685800
2000-02-07,20.6875,20.75,20.375,20.4375,2388200
2000-02-08,20.375,20.65625,20.34375,20.40625,2985000
2000-02-09,20.4375,20.46875,20.28125,20.34375,2141000
2000-02-10,20.6875,20.6875,20.34375,20.40625,1794200
2000-02-11,20.28125,20.375,20.125,20.21875,1465000
2000-02-14,20.125,20.46875,20.03125,20.15625,1567600
2000-02-15,20.28125,20.375,20.25,20.3125,2450400
2000-02-16,20.375,20.40625,20.28125,20.34375,2011800
2000-02-17,20.34375,20.46875,20.28125,20.40625,1638400
2000-02-18,20.375,20.46875,20.1875,20.34375,2243000
2000-02-22,20.3125,20.34375,20.21875,20.3125,1809600
2000-02-23,20.15625,20.28125,19.5,19.5,2969600
2000-02-24,19.625,19.625,18.90625,19.3125,1958400
2000-02-25,19.3125,19.3125,18.5625,18.5625,1703600
2000-02-28,18.25,18.6875,18.03125,18.5,4631800
2000-02-29,18.53125,18.59375,18.3125,18.34375,1404600
2000-03-01,18.34375,18.34375,17.40625,18.03125,2080000
2000-03-02,18.03125,18.6875,17.78125,18.3125,2131400
2000-03-03,18.5,18.625,18.375,18.375,1428600
2000-03-06,18.375,18.40625,17.78125,18.15625,1552600
2000-03-07,18.15625,18.53125,18.15625,18.21875,1737200
2000-03-08,18.09375,18.40625,17.84375,18.375,2139200
2000-03-09,18.34375,18.53125,18.3125,18.34375,1782400
2000-03-10,18.34375,18.34375,18.03125,18.15625,1531000
2000-03-13,18.0,18.0625,17.75,17.9375,715800
2000-03-14,17.84375,17.875,17.46875,17.5625,1407400
2000-03-15,17.5625,18.625,17.5625,18.375,1785400
2000-03-16,18.5,19.65625,18.5,19.375,1835200
2000-03-17,19.65625,19.65625,18.5625,18.65625,2616600
2000-03-20,18.78125,19.0625,18.71875,18.90625,1670200
2000-03-21,18.96875,19.0,18.71875,18.90625,1289800
2000-03-22,18.8125,18.9375,18.5625,18.90625,1347600
2000-03-23,18.6875,19.1875,18.65625,19.09375,1097000
2000-03-24,19.09375,19.09375,18.71875,18.78125,1875600
2000-03-27,18.59375,19.1875,18.59375,18.9140625,904800
2000-03-28,18.71875,18.84375,18.34375,18.4375,1133600
2000-03-29,18.375,18.90625,18.34375,18.5,1341200
2000-03-30,18.59375,19.125,18.59375,19.0625,1608800
2000-03-31,19.125,19.375,18.59375,19.21875,1552800
2000-04-03,19.25,19.34375,19.0625,19.28125,1369600
2000-04-04,19.375,20.125,19.03125,19.84375,1507800
2000-04-05,19.875,20.75,19.84375,20.0,1336600
2000-04-06,19.9375,19.96875,19.5625,19.6875,1583400
2000-04-07,19.5625,19.71875,19.25,19.34375,811000
2000-04-10,19.46875,20.25,19.25,20.125,1096600
2000-04-11,20.09375,20.8125,20.09375,20.5,1076200
2000-04-12,20.5625,21.78125,20.5625,21.21875,1434600
2000-04-13,21.21875,22.5,21.1875,22.34375,2452600
2000-04-14,22.75,22.78125,21.625,21.71875,2767600
2000-04-17,21.65625,22.34375,20.65625,21.78125,2772000
2000-04-18,21.75,22.21875,21.375,21.4375,1218800
2000-04-19,21.34375,21.40625,20.625,21.21875,1452200
2000-04-20,21.15625,21.5625,21.0,21.46875,2193800
2000-04-24,21.5,22.375,21.5,22.15625,1211600
2000-04-25,22.4375,22.96875,21.625,22.90625,1871200
2000-04-26,22.78125,23.46875,22.6875,23.25,2016600
2000-04-27,23.125,23.1875,22.5625,22.75,1287800
2000-04-28,22.5625,22.65625,22.125,22.5,1091800
2000-05-01,22.375,22.53125,22.125,22.1875,1552000
2000-05-02,22.0625,22.375,21.5625,21.59375,1223800
2000-05-03,21.65625,21.8125,21.375,21.71875,1012400
2000-05-04,21.75,22.5,21.53125,22.25,1393400
2000-05-05,22.21875,22.21875,21.59375,21.78125,809600
2000-05-08,21.84375,22.96875,21.78125,21.9375,1154800
2000-05-09,21.9375,22.0625,21.8125,21.96875,704400
2000-05-10,22.09375,23.09375,22.0625,22.96875,2292400
2000-05-11,22.96875,23.53125,22.875,23.34375,1470000
2000-05-12,23.28125,23.3125,22.5,22.75,1204600
2000-05-15,22.75,23.375,22.75,23.0,798000
2000-05-16,22.96875,23.125,22.375,22.9375,1002200
2000-05-17,22.8125,22.8125,21.90625,22.09375,921000
2000-05-18,22.15625,22.96875,22.15625,22.71875,1387800
