Date,open,high,low,close,volume
1999-12-31,2.796875,2.8984375,2.7548828125,2.80859375,2507200
2000-01-03,2.796875,2.8125,2.625,2.65234375,1889600
2000-01-04,2.6328125,2.65625,2.49609375,2.5,1691200
2000-01-05,2.49609375,2.62109375,2.484375,2.60546875,3872000
2000-01-06,2.6171875,2.6484375,2.578125,2.60546875,1435200
2000-01-07,2.60546875,2.640625,2.59375,2.6015625,4795200
2000-01-10,2.609375,2.609375,2.53125,2.53515625,2587200
2000-01-11,2.53125,2.578125,2.53125,2.5546875,4742400
2000-01-12,2.5390625,2.5625,2.4921875,2.505859375,3872000
2000-01-13,2.50390625,3.04296875,2.50390625,2.890625,12150400
2000-01-14,2.890625,2.90625,2.8046875,2.80859375,5040000
2000-01-18,2.8046875,2.84375,2.7734375,2.77734375,2755200
2000-01-19,2.84765625,3.12109375,2.8359375,2.9921875,7625600
2000-01-20,3.05859375,3.1484375,3.015625,3.05078125,9560000
2000-01-21,3.046875,3.08984375,3.015625,3.060546875,6924800
2000-01-24,3.0546875,3.0625,2.84375,2.87890625,2564800
2000-01-25,2.890625,2.9765625,2.8671875,2.94140625,2841600
2000-01-26,2.9453125,3.078125,2.94140625,3.0703125,2822400
2000-01-27,3.046875,3.1328125,2.96875,3.078125,3633600
2000-01-28,3.078125,3.078125,2.921875,2.931640625,3947200
2000-01-31,2.96875,2.96875,2.71484375,2.734375,5960000
2000-02-01,2.7421875,2.9296875,2.7421875,2.82421875,3198400
2000-02-02,2.828125,3.03125,2.82421875,2.990234375,4088000
2000-02-03,2.97265625,3.109375,2.97265625,3.03125,2648000
2000-02-04,3.0078125,3.09765625,2.98828125,3.07421875,1017600
2000-02-07,3.0703125,3.0859375,3.0078125,3.06640625,1769600
2000-02-08,3.078125,3.1015625,2.98828125,3.06640625,2774400
2000-02-09,3.05078125,3.0625,2.9921875,2.9921875,2102400
2000-02-10,2.9765625,2.9765625,2.8828125,2.94140625,4472000
2000-02-11,2.9296875,2.94140625,2.8984375,2.90625,1816000
2000-02-14,2.91015625,2.94921875,2.8984375,2.9375,1644800
2000-02-15,2.9375,2.9375,2.859375,2.87109375,4697600
2000-02-16,2.828125,2.85546875,2.796875,2.796875,2145600
2000-02-17,2.796875,2.84765625,2.7109375,2.8046875,2067200
2000-02-18,2.8046875,2.8359375,2.7578125,2.76171875,2516800
2000-02-22,2.75,2.7578125,2.6171875,2.6484375,2652800
2000-02-23,2.625,2.734375,2.61328125,2.716796875,2182400
2000-02-24,2.734375,2.734375,2.625,2.6328125,2209600
2000-02-25,2.6328125,2.70703125,2.625,2.625,1988800
2000-02-28,2.6171875,2.6328125,2.5263671875,2.6171875,3422400
2000-02-29,2.63671875,2.8046875,2.60546875,2.76171875,3107200
2000-03-01,2.71875,2.86328125,2.69140625,2.83984375,2846400
2000-03-02,2.83203125,2.83984375,2.65625,2.65625,3296000
2000-03-03,2.6796875,2.78125,2.65625,2.7734375,4179200
2000-03-06,2.75,2.7578125,2.65625,2.70703125,3012800
2000-03-07,2.7109375,2.71875,2.5546875,2.56640625,2353600
2000-03-08,2.5703125,2.59375,2.54296875,2.5703125,1936000
2000-03-09,2.59375,2.59375,2.5546875,2.56640625,2968000
2000-03-10,2.56640625,2.56640625,2.375,2.375,5560000
2000-03-13,2.3828125,2.390625,2.28125,2.359375,3480000
