Date,open,high,low,close,volume
1999-12-31,21.1875,21.65625,21.03125,21.65625,325600
2000-01-03,21.71875,21.84375,20.15625,20.28125,1927000
2000-01-04,20.21875,20.5625,19.8125,19.875,2400400
2000-01-05,19.8125,19.96875,19.59375,19.59375,870800
2000-01-06,20.03125,20.03125,18.9375,19.28125,2113800
2000-01-07,19.5625,19.625,19.1875,19.40625,1561600
2000-01-10,19.34375,19.5,19.125,19.15625,1368800
2000-01-11,19.1875,19.3125,18.4375,18.5625,1772600
2000-01-12,18.625,18.84375,18.09375,18.34375,1457600
2000-01-13,18.3125,18.34375,17.46875,17.53125,2292600
2000-01-14,17.3125,18.09375,17.3125,17.5625,2094400
2000-01-18,17.46875,17.8125,16.9375,17.09375,1042200
2000-01-19,17.125,17.25,16.75,17.0,1651000
2000-01-20,16.875,17.15625,16.390625,17.03125,1502800
2000-01-21,17.21875,17.21875,16.5625,16.65625,2530200
2000-01-24,16.65625,16.65625,15.90625,16.375,1082000
2000-01-25,16.1875,16.5625,16.15625,16.28125,2511200
2000-01-26,16.625,16.71875,16.21875,16.3125,1421200
2000-01-27,16.5625,16.71875,15.75,15.90625,3000600
2000-01-28,15.9375,15.96875,15.09375,15.25,3739200
2000-01-31,15.375,15.46875,15.15625,15.34375,1326400
2000-02-01,15.4375,16.0625,15.375,15.5625,3048000
2000-02-02,16.0,17.5,15.8125,16.625,3575000
2000-02-03,17.5,18.0,16.875,17.40625,4656600
2000-02-04,17.53125,17.78125,17.28125,17.75,3462200
2000-02-07,17.84375,17.84375,17.40625,17.46875,2669600
2000-02-08,17.75,17.8125,17.4375,17.75,2202400
2000-02-09,17.75,17.78125,17.125,17.25,1298000
2000-02-10,17.375,17.375,17.03125,17.15625,1409600
2000-02-11,17.1875,17.1875,16.5625,16.65625,1173600
2000-02-14,16.6875,16.8125,16.34375,16.75,1408000
2000-02-15,16.875,17.0625,16.84375,16.90625,1385000
2000-02-16,16.875,16.875,15.25,15.5625,2590400
2000-02-17,15.6875,15.90625,15.3125,15.34375,1853000
2000-02-18,15.21875,15.4375,15.09375,15.3125,1404800
2000-02-22,15.75,15.84375,15.34375,15.71875,1406200
2000-02-23,15.84375,16.125,15.25,15.34375,2602400
2000-02-24,15.375,15.40625,14.4375,14.59375,3143400
2000-02-25,14.5625,15.125,14.5625,15.0625,2918200
2000-02-28,15.625,15.8125,15.1875,15.65625,2390600
2000-02-29,16.0,17.0,15.8125,17.0,2631400
2000-03-01,16.65625,16.875,16.28125,16.8125,2553800
2000-03-02,16.8125,16.90625,16.53125,16.8125,3417200
2000-03-03,16.8125,16.90625,16.53125,16.90625,1615800
2000-03-06,16.75,16.84375,16.40625,16.75,1577000
2000-03-07,16.90625,16.90625,15.9375,15.96875,2318200
2000-03-08,16.1875,16.21875,15.78125,16.125,1767800
2000-03-09,16.0,17.0,16.0,17.0,1925000
2000-03-10,17.0,17.03125,16.71875,17.0,1226800
2000-03-13,16.9375,16.9375,16.4375,16.71875,1224200
2000-03-14,16.71875,16.875,16.40625,16.6875,1561200
2000-03-15,16.59375,18.21875,16.59375,17.84375,1921800
2000-03-16,17.84375,19.78125,17.84375,19.75,3149600
2000-03-17,19.375,19.40625,18.625,18.6875,1778200
2000-03-20,18.5,19.3125,18.4375,18.96875,1266200
2000-03-21,19.21875,19.75,19.15625,19.28125,2773400
2000-03-22,19.25,19.25,18.75,19.125,2342200
2000-03-23,19.125,19.21875,18.96875,19.15625,2043400
2000-03-24,19.15625,19.46875,19.0625,19.34375,634000
2000-03-27,19.21875,19.78125,19.15625,19.6875,1734800
2000-03-28,19.875,19.9375,19.1875,19.28125,1206800
