Date,open,high,low,close,volume
1999-12-31,10.21875,10.34375,10.1875,10.3125,101800
2000-01-03,10.4375,10.4375,10.1875,10.375,98800
2000-01-04,10.28125,10.40625,10.09375,10.25,119800
2000-01-05,10.1875,10.3125,10.09375,10.1875,96400
2000-01-06,10.25,10.3125,10.125,10.3125,64600
2000-01-07,10.375,10.5,10.1875,10.5,137600
2000-01-10,10.5,10.71875,10.5,10.6875,116000
2000-01-11,10.65625,10.875,10.65625,10.71875,145000
2000-01-12,10.78125,10.9375,10.6875,10.78125,99800
2000-01-13,10.84375,10.84375,10.625,10.78125,71200
2000-01-14,10.78125,11.0,10.75,10.84375,114600
2000-01-18,10.84375,11.0,10.75,11.0,82400
2000-01-19,10.875,10.96875,10.78125,10.90625,119000
2000-01-20,10.9375,10.9375,10.8125,10.875,66400
2000-01-21,10.8125,10.96875,10.75,10.84375,96800
2000-01-24,10.90625,11.0,10.84375,10.875,93000
2000-01-25,10.875,10.96875,10.875,10.96875,65400
2000-01-26,11.0,11.0,10.65625,10.75,85600
2000-01-27,10.6875,10.9375,10.6875,10.9375,78600
2000-01-28,10.78125,10.875,10.78125,10.84375,72200
2000-01-31,10.8125,10.8125,10.625,10.625,94400
2000-02-01,10.625,10.8125,10.59375,10.8125,51200
2000-02-02,10.75,10.8125,10.6875,10.78125,51600
2000-02-03,10.59375,10.96875,10.59375,10.8125,118800
2000-02-04,10.875,10.875,10.75,10.78125,66800
2000-02-07,10.75,10.8125,10.6875,10.75,63400
2000-02-08,10.875,10.875,10.625,10.6875,71200
2000-02-09,10.75,10.8125,10.6875,10.75,71200
2000-02-10,10.6875,10.75,10.5625,10.65625,138800
2000-02-11,10.625,10.6875,10.53125,10.65625,101400
2000-02-14,10.78125,10.78125,10.5,10.53125,117200
2000-02-15,10.59375,10.65625,10.5,10.625,65200
2000-02-16,10.53125,10.71875,10.53125,10.53125,102800
2000-02-17,10.5625,10.75,10.5,10.75,86000
2000-02-18,10.6875,10.75,10.5,10.6875,86600
2000-02-22,10.5,10.625,10.4375,10.625,153600
2000-02-23,10.6875,10.6875,10.5,10.59375,42200
2000-02-24,10.5625,10.625,10.46875,10.5625,53000
2000-02-25,10.53125,10.65625,10.46875,10.53125,67800
2000-02-28,10.40625,10.46875,10.3125,10.40625,77600
2000-02-29,10.46875,10.46875,10.3125,10.40625,74200
