Date,open,high,low,close,volume
1999-12-31,19.5625,19.6875,19.3125,19.5,262900
2000-01-03,19.625,19.625,18.9375,19.0,2738600
2000-01-04,19.0625,19.5,19.0,19.4375,425200
2000-01-05,19.4375,20.1875,19.4375,20.1875,500200
2000-01-06,20.125,20.125,19.8125,20.0,344100
2000-01-07,20.0,20.0,19.875,20.0,469500
2000-01-10,20.0625,20.0625,19.875,20.0,522000
2000-01-11,19.9375,20.0625,19.9375,20.0,557400
2000-01-12,20.0,20.5625,20.0,20.4375,410500
2000-01-13,20.375,20.5,20.25,20.375,308000
2000-01-14,20.375,20.4375,20.125,20.4375,659100
2000-01-18,20.3125,20.3125,19.6875,19.8125,843200
2000-01-19,19.75,19.875,19.6875,19.8125,578200
2000-01-20,19.8125,19.875,19.5625,19.625,566200
2000-01-21,19.625,19.9375,19.625,19.75,1021700
2000-01-24,19.75,19.8125,19.625,19.6875,649100
2000-01-25,19.6875,19.6875,19.3125,19.5,344900
2000-01-26,19.625,19.625,19.0,19.125,1137000
2000-01-27,19.25,19.5,19.1875,19.3125,493400
2000-01-28,19.3125,19.5,19.25,19.25,289700
2000-01-31,19.25,19.375,19.125,19.25,526700
2000-02-01,19.375,19.375,19.125,19.25,446600
2000-02-02,19.375,19.4375,19.0625,19.0625,313200
2000-02-03,19.1875,19.6875,19.1875,19.625,483400
2000-02-04,19.625,19.625,19.125,19.3125,336400
2000-02-07,19.3125,19.3125,19.0,19.0625,348300
2000-02-08,19.0625,19.1875,19.0,19.0625,364900
2000-02-09,19.125,19.5,19.0625,19.1875,595500
2000-02-10,19.1875,19.3125,18.5625,18.8125,503600
2000-02-11,18.9375,18.9375,18.5,18.875,554500
2000-02-14,18.8125,18.9375,18.625,18.75,374500
2000-02-15,18.5,18.6875,18.375,18.4375,627400
2000-02-16,18.5625,18.75,18.5,18.5,284800
2000-02-17,18.6875,18.6875,18.3125,18.5625,202600
2000-02-18,18.4375,18.5,18.125,18.1875,469100
2000-02-22,18.3125,18.5625,18.25,18.3125,477300
2000-02-23,18.25,18.3125,18.0,18.0625,306300
2000-02-24,18.0625,18.125,17.6875,17.8125,367700
2000-02-25,17.875,17.875,17.375,17.5625,477600
2000-02-28,17.8125,18.125,17.5625,18.0,505400
2000-02-29,17.8125,17.9375,17.5,17.5625,535900
2000-03-01,17.625,17.6875,17.0625,17.1875,512300
2000-03-02,17.0625,17.25,17.0,17.0625,642200
2000-03-03,17.125,17.5625,17.125,17.5,405500
2000-03-06,17.375,17.375,16.25,16.4375,967400
2000-03-07,16.6875,16.75,16.3125,16.4375,1814900
2000-03-08,16.5625,16.8125,16.3125,16.375,1498300
2000-03-09,16.5,16.625,16.125,16.25,1129600
2000-03-10,16.3125,16.75,16.25,16.625,635300
2000-03-13,16.6875,16.9375,16.5625,16.9375,636700
2000-03-14,17.1875,17.5,17.125,17.5,873700
2000-03-15,17.5,18.625,17.5,18.625,898300
2000-03-16,18.875,19.9375,18.75,19.9375,894300
2000-03-17,19.9375,20.1875,19.625,19.875,1242200
2000-03-20,19.875,19.9375,19.375,19.5,1416800
2000-03-21,19.4375,19.4375,18.8125,19.0,639000
2000-03-22,18.875,18.9375,18.25,18.5625,367700
2000-03-23,18.5625,18.875,18.5625,18.8125,500300
2000-03-24,18.6875,18.9375,18.5625,18.875,648100
2000-03-27,18.875,19.125,18.8125,18.875,888400
2000-03-28,18.8125,19.125,18.8125,18.875,269400
2000-03-29,18.875,19.1875,18.8125,19.125,764900
2000-03-30,19.25,20.0,19.25,19.875,1726400
2000-03-31,19.8125,19.9375,19.625,19.875,566900
2000-04-03,19.875,19.9375,19.5,19.75,208100
2000-04-04,19.75,20.4375,19.75,20.3125,844900
2000-04-05,20.375,21.1875,20.3125,20.5625,495900
2000-04-06,20.5,20.8125,20.125,20.25,391900
2000-04-07,20.1875,20.25,19.875,20.0625,701300
2000-04-10,20.0,20.875,19.9375,20.8125,2409100
2000-04-11,20.3125,20.875,20.3125,20.6875,469300
2000-04-12,20.75,21.1875,20.3125,20.3125,645400
2000-04-13,20.3125,21.0625,20.25,21.0625,492500
2000-04-14,21.0,21.0625,20.5,20.625,536600
2000-04-17,20.625,20.6875,19.875,20.3125,782800
2000-04-18,20.25,20.6875,20.0625,20.25,482100
2000-04-19,20.5,20.5,19.8125,19.9375,533000
2000-04-20,20.1875,20.5,20.0,20.4375,578100
2000-04-24,20.875,21.25,20.75,21.25,657300
2000-04-25,21.25,21.9375,21.25,21.875,783700
2000-04-26,21.8125,22.3125,21.75,22.25,589200
2000-04-27,22.125,22.3125,21.875,22.0625,1041400
2000-04-28,22.0625,22.1875,21.5625,21.8125,678100
2000-05-01,21.4375,22.1875,21.4375,22.125,615100
2000-05-02,22.375,22.4375,21.9375,22.0625,805200
2000-05-03,22.0625,22.375,21.75,22.25,778500
2000-05-04,22.4375,22.5,21.875,22.4375,771400
2000-05-05,22.1875,22.25,21.75,21.9375,521500
2000-05-08,21.875,22.9375,21.75,21.9375,840200
2000-05-09,22.0625,22.0625,21.8125,22.0,248800
2000-05-10,22.0,22.375,21.9375,22.3125,591100
2000-05-11,22.3125,22.6875,22.25,22.625,262600
2000-05-12,22.625,22.625,22.3125,22.4375,339500
2000-05-15,22.4375,23.0,22.4375,22.6875,271000
2000-05-16,22.6875,22.75,22.0,22.4375,402100
2000-05-17,22.4375,22.5,21.9375,22.0625,364800
2000-05-18,22.0625,23.0625,22.0,22.5,289900
2000-05-19,22.125,22.5,22.125,22.3125,250600
2000-05-22,22.375,23.1875,22.1875,23.0625,352300
2000-05-23,23.0,23.1875,22.625,23.125,533300
2000-05-24,23.125,23.8125,23.0625,23.6875,569000
2000-05-25,23.625,23.625,22.0625,22.25,1557500
2000-05-26,22.375,22.75,22.375,22.5625,339600
2000-05-30,22.5625,22.5625,21.9375,22.25,331100
2000-05-31,22.125,22.4375,22.0,22.125,520000
2000-06-01,22.0625,22.125,21.75,21.8125,598100
2000-06-02,22.0625,22.1875,21.3125,21.4375,350700
2000-06-05,21.5,21.5,20.9375,21.0,323700
2000-06-06,21.0625,21.4375,20.9375,21.0,307800
2000-06-07,21.25,21.375,21.125,21.3125,196000
2000-06-08,21.125,21.1875,20.8125,21.0625,327400
2000-06-09,21.0625,21.5,20.9375,21.4375,272400
2000-06-12,21.4375,21.625,21.375,21.53125,277200
2000-06-13,21.4375,21.75,21.4375,21.6875,238400
2000-06-14,21.6875,21.6875,21.25,21.3125,345400
2000-06-15,21.375,21.75,21.3125,21.75,268500
2000-06-16,21.75,21.75,21.46875,21.5,272100
2000-06-19,21.5625,21.6875,21.25,21.625,226800
2000-06-20,21.5,21.5625,20.875,21.25,341300
2000-06-21,21.3125,21.3125,20.9375,21.0,436000
2000-06-22,21.0625,21.0625,20.5,20.6875,434500
2000-06-23,20.6875,21.125,20.6875,21.0,284800
2000-06-26,21.25,21.3125,20.9375,21.25,165600
2000-06-27,21.125,21.375,20.25,20.3125,337500
2000-06-28,20.5,21.125,19.96875,20.953125,388000
2000-06-29,20.9375,21.25,20.5,20.5,257800
2000-06-30,20.5625,21.125,20.0625,20.1875,560200
2000-07-03,20.3125,20.75,20.1875,20.5,243300
2000-07-05,20.5,21.0,20.125,20.3125,516700
2000-07-06,20.5,20.875,20.4375,20.8125,502800
2000-07-07,20.875,21.125,20.875,21.0,329000
2000-07-10,21.125,21.5,21.0625,21.25,2762500
2000-07-11,21.125,21.25,20.8125,21.25,1073500
2000-07-12,21.25,21.25,20.875,21.0,251800
2000-07-13,21.0,21.0625,20.75,21.0,295800
2000-07-14,20.9375,21.3125,20.75,20.8125,595900
2000-07-17,20.8125,21.0625,20.78125,20.78125,497200
2000-07-18,21.0625,21.0625,20.5625,20.625,877900
2000-07-19,20.875,21.8125,20.8125,21.6875,1225400
2000-07-20,22.25,22.3125,21.9375,22.0625,809700
2000-07-21,22.3125,22.3125,21.875,21.875,495700
2000-07-24,21.875,22.0,21.5,21.6875,267900
2000-07-25,21.9375,22.4375,21.75,22.0625,324600
2000-07-26,22.0,22.25,21.9375,21.9375,423900
2000-07-27,22.0625,22.4375,22.0625,22.3125,403000
2000-07-28,22.25,22.5,22.0625,22.0625,426300
2000-07-31,22.25,22.4375,22.0,22.0625,458000
2000-08-01,22.25,22.8125,22.125,22.8125,359200
2000-08-02,22.8125,23.6875,22.625,23.5,1879400
2000-08-03,23.5625,24.625,23.5625,24.0625,2185100
2000-08-04,24.0625,24.25,23.625,24.25,667300
2000-08-07,24.125,24.875,24.125,24.765625,1279300
2000-08-08,26.0,26.0,25.0,25.5,1063900
2000-08-09,25.375,25.4375,25.0625,25.4375,878900
2000-08-10,25.25,25.828125,25.1875,25.828125,436700
2000-08-11,25.8125,26.625,25.6875,26.265625,966900
2000-08-14,25.875,26.4375,25.875,26.375,826500
2000-08-15,26.125,26.6875,26.0,26.625,943400
2000-08-16,26.625,26.6875,26.375,26.625,764400
2000-08-17,26.625,26.625,26.125,26.1875,752300
2000-08-18,26.0625,26.3125,25.9375,26.25,887200
2000-08-21,26.0625,26.4375,26.0,26.3125,776900
2000-08-22,26.25,26.625,26.1875,26.5,793900
2000-08-23,26.25,26.375,25.8125,26.0,1273000
2000-08-24,26.0,26.0,25.125,25.375,1097000
2000-08-25,25.375,25.375,24.75,25.0625,1221800
2000-08-28,25.0,25.125,24.5,24.5625,1018800
2000-08-29,24.5625,24.625,24.0625,24.4375,993500
2000-08-30,24.4375,25.0,24.3125,24.75,692900
2000-08-31,24.75,25.25,24.75,25.078125,1515000
2000-09-01,24.9375,25.375,24.8125,25.375,1056900
2000-09-05,25.0,25.0625,24.8125,24.9375,697000
2000-09-06,25.0,25.75,25.0,25.75,2152500
2000-09-07,25.6875,25.75,25.5,25.75,674500
2000-09-08,25.625,26.0625,25.625,26.03125,1519900
2000-09-11,26.0,26.6875,25.9375,26.640625,2402300
2000-09-12,26.625,27.0,26.4375,26.75,1940200
2000-09-13,26.75,26.875,26.3125,26.5625,972300
2000-09-14,26.5625,26.5625,25.9375,26.5625,589600
2000-09-15,26.625,26.9375,26.4375,26.640625,1659800
2000-09-18,26.5,26.5,26.0,26.171875,836600
2000-09-19,26.6875,26.6875,25.6875,26.203125,2545600
2000-09-20,26.0,26.125,25.5,26.0,971200
2000-09-21,25.9375,26.125,25.5625,25.875,871600
2000-09-22,26.0625,26.25,25.75,26.125,2292400
2000-09-25,25.875,26.125,25.625,26.0625,478800
2000-09-26,26.0,26.5,26.0,26.375,854800
2000-09-27,26.3125,26.890625,26.3125,26.890625,1704600
2000-09-28,26.8125,27.5,26.6875,27.25,1074400
2000-09-29,27.25,27.5625,27.1875,27.515625,1051400
2000-10-02,27.5,28.0,27.3125,27.9375,895800
2000-10-03,27.6875,28.125,27.5625,27.5625,714300
2000-10-04,27.375,27.6875,26.1875,26.75,1289000
2000-10-05,26.75,27.3125,25.875,25.9375,1729900
2000-10-06,26.0,27.4375,26.0,27.0,1866000
2000-10-09,26.875,27.8125,26.6875,27.375,1080100
2000-10-10,27.1875,27.9375,27.1875,27.5,820600
2000-10-11,27.6875,28.0,27.125,27.625,815800
2000-10-12,27.4375,27.75,26.6875,27.3125,573200
2000-10-13,27.125,27.5,27.125,27.5,389800
2000-10-16,27.3125,27.9375,27.25,27.8125,382900
2000-10-17,27.8125,28.0,27.4375,27.6875,470900
2000-10-18,27.625,28.0,26.75,27.25,791000
2000-10-19,27.0625,27.0625,26.375,26.75,374900
2000-10-20,26.75,26.875,26.4375,26.5625,583600
2000-10-23,26.5625,26.625,26.0625,26.125,664400
2000-10-24,26.3125,26.5,25.625,25.9375,1012900
2000-10-25,25.9375,26.1875,25.0625,25.125,970900
2000-10-26,24.875,25.3125,24.625,25.0625,1491600
2000-10-27,24.9375,25.4375,24.625,25.25,978100
2000-10-30,25.125,25.625,25.125,25.4375,928500
2000-10-31,25.375,25.75,25.0,25.5625,664100
2000-11-01,25.6875,26.375,25.625,26.3125,560300
2000-11-02,26.3125,26.4375,25.75,25.8125,785200
2000-11-03,25.75,26.125,25.5,25.75,367900
2000-11-06,25.5,26.4375,25.5,25.875,907800
2000-11-07,25.875,25.9375,25.5,25.6875,479700
2000-11-08,25.5625,25.8125,25.5,25.75,235500
2000-11-09,25.875,26.125,25.75,26.0,513300
2000-11-10,26.125,26.1875,25.875,25.9375,616000
2000-11-13,25.6875,26.25,25.6875,25.9375,368700
2000-11-14,25.6875,25.8125,25.5625,25.75,485100
2000-11-15,25.625,26.5,25.5625,26.375,931000
2000-11-16,26.375,26.75,26.25,26.5625,943900
2000-11-17,26.875,26.875,26.4375,26.6875,598600
2000-11-20,26.875,27.0,26.4375,26.5,510300
2000-11-21,26.5,26.6875,26.0,26.6875,339100
2000-11-22,26.5625,26.875,26.375,26.6875,965100
2000-11-24,26.5,26.75,26.375,26.5625,133500
2000-11-27,26.25,26.5,25.75,26.125,933400
2000-11-28,26.125,26.4375,26.0625,26.4375,612300
2000-11-29,26.25,27.0625,26.25,26.9375,592600
2000-11-30,27.1875,27.75,26.9375,27.25,828700
2000-12-01,27.0,27.375,26.8125,26.9375,447600
2000-12-04,26.875,27.625,26.875,27.5,667000
2000-12-05,27.4375,27.5625,26.9375,27.5625,997600
2000-12-06,27.8125,27.8125,26.875,27.1875,737600
2000-12-07,27.125,27.625,27.125,27.625,673100
2000-12-08,27.625,27.75,27.375,27.6875,496500
2000-12-11,27.5625,28.0,27.4375,27.625,796300
